Timestamp,Sample,Ciclo,Fase,Bridge VAB (V),KEITHLEY Voltaje (V),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
0.000288,1,1,subida,-183495488.000000,-0.006671,None,0.0,-0.0,0.0
0.101317,2,1,subida,-183502176.000000,-0.006672,None,0.0,-0.001,0.0
0.151258,3,1,subida,-183544576.000000,-0.006680,None,0.0,0.0,0.0
0.201468,4,1,subida,-183558224.000000,-0.006672,None,0.0,-0.0,0.0
0.251261,5,1,subida,-183520928.000000,-0.006671,None,0.0,0.0,0.0
0.294486,6,1,subida,-183505136.000000,-0.006672,None,0.0,-0.0,0.0
0.350060,7,1,subida,-183507792.000000,-0.006672,None,0.0,-0.0,0.0
0.406942,8,1,subida,-183505744.000000,-0.006672,None,0.0,0.0,0.0
0.451024,9,1,subida,-183496304.000000,-0.006671,None,0.0,-0.0,0.0
0.507111,10,1,subida,-183491776.000000,-0.006670,None,0.0,0.0,0.0
0.567744,11,1,subida,-183490208.000000,-0.006671,None,0.0,-0.0,0.0
0.650328,12,1,subida,-183542464.000000,-0.006677,None,0.0,-0.0,0.0
0.715971,13,1,subida,-183539536.000000,-0.006671,None,0.0,-0.0,0.0
0.767513,14,1,subida,-183488384.000000,-0.006671,None,0.0,-0.0,0.0
0.814897,15,1,subida,-183496480.000000,-0.006671,None,0.0,-0.001,0.0
0.901264,16,1,subida,-183506016.000000,-0.006671,None,0.0,-0.001,0.0
0.968490,17,1,subida,-183506944.000000,-0.006672,None,0.0,-0.0,0.0
1.040214,18,1,subida,-183505536.000000,-0.006671,None,0.0,0.0,0.0
1.088868,19,1,subida,-183503952.000000,-0.006671,None,0.0,-0.0,0.0
1.194545,20,1,subida,-183577248.000000,-0.006674,None,0.0,-0.0,0.0
1.301413,21,1,subida,-183537920.000000,-0.006672,None,0.0,-0.0,0.0
1.371748,22,1,subida,-183533728.000000,-0.006672,None,0.0,-0.0,0.0
1.450490,23,1,subida,-183537072.000000,-0.006673,None,0.0,-0.0,0.0
1.501295,24,1,subida,-183530544.000000,-0.006672,None,0.0,-0.0,0.0
1.600991,25,1,subida,-183522720.000000,-0.006672,None,0.0,-0.0,0.0
1.657898,26,1,subida,-183548608.000000,-0.006674,None,0.0,-0.0,0.0
1.701206,27,1,subida,-183538192.000000,-0.006671,None,0.0,0.0,0.0
