Timestamp,Sample,Ciclo,Fase,Bridge VAB (V),KEITHLEY Voltaje (V),Bridge VA (V),Bridge VB (V),Bridge Current (A),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
0.000738,1,1,subida,-0.006112,-0.006108,0.131315,0.000000,0.000000,25.266474,0.0,0.0,0.0
0.049850,2,1,subida,-0.006113,-0.006109,0.131019,0.000000,0.000000,25.265467,0.0,0.0,0.0
0.129766,3,1,subida,-0.006113,-0.006109,0.130907,0.000000,0.000000,25.264093,0.0,0.001,0.0
0.242396,4,1,subida,-0.006115,-0.006111,0.130569,0.000000,0.000000,25.263727,0.0,0.0,0.0
0.370408,5,1,subida,-0.006110,-0.006109,0.131563,0.000000,0.000000,25.266687,0.0,0.0,0.0
0.464782,6,1,subida,-0.006110,-0.006106,0.131752,0.000000,0.000000,25.266840,0.0,0.0,0.0
0.529583,7,1,subida,-0.006110,-0.006106,0.131732,0.000000,0.000000,25.264307,0.0,0.0,0.0
0.607722,8,1,subida,-0.006108,-0.006107,0.132055,0.000000,0.000000,25.265833,0.0,0.001,0.0
0.657398,9,1,subida,-0.006108,-0.006106,0.132070,0.000000,0.000000,25.260920,0.0,0.0,0.0
0.734079,10,1,subida,-0.006111,-0.006107,0.131476,0.000000,0.000000,25.266474,0.0,0.0,0.0
0.845414,11,1,subida,-0.006112,-0.006107,0.131289,0.000000,0.000000,25.265894,0.0,0.001,0.0
0.896030,12,1,subida,-0.006113,-0.006108,0.131050,0.000000,0.000000,25.264612,0.0,0.0,0.0
0.990021,13,1,subida,-0.006113,-0.006108,0.131047,0.000000,0.000000,25.265100,0.0,0.0,0.0
0.121092,15,1,subida,-0.002576,-0.002575,0.993534,0.000000,0.000000,25.267023,1.0,1.002,1.0
0.199636,16,1,subida,-0.002578,-0.002575,0.993149,0.000000,0.000000,25.267572,1.0,1.002,1.0
0.281917,17,1,subida,-0.002578,-0.002577,0.993241,0.000000,0.000000,25.267298,1.0,1.002,1.0
0.362794,18,1,subida,-0.002579,-0.002577,0.992876,0.000000,0.000000,25.262781,1.0,1.002,1.0
0.472095,19,1,subida,-0.002580,-0.002578,0.992631,0.000000,0.000000,25.268732,1.0,1.001,1.0
