Block,Sample_In_Block,Global_Sample,Voltage_V,Timestamp
1,1,1,-0.0175541751,2025-10-08T13:22:56.104378
1,2,2,-0.0175555385,2025-10-08T13:22:56.104378
1,3,3,-0.01755758,2025-10-08T13:22:56.104378
1,4,4,-0.01756154,2025-10-08T13:22:56.104378
1,5,5,-0.0175642259,2025-10-08T13:22:56.104378
1,6,6,-0.0175651386,2025-10-08T13:22:56.104378
1,7,7,-0.0175695903,2025-10-08T13:22:56.104378
1,8,8,-0.0175680182,2025-10-08T13:22:56.104378
1,9,9,-0.0175674799,2025-10-08T13:22:56.104378
1,10,10,-0.0175687167,2025-10-08T13:22:56.104378
1,11,11,-0.0175690315,2025-10-08T13:22:56.104378
1,12,12,-0.0175679251,2025-10-08T13:22:56.104378
1,13,13,-0.0175650883,2025-10-08T13:22:56.104378
1,14,14,-0.0175650566,2025-10-08T13:22:56.104378
1,15,15,-0.0175663251,2025-10-08T13:22:56.104378
1,16,16,-0.017566692,2025-10-08T13:22:56.104378
1,17,17,-0.0175643432,2025-10-08T13:22:56.104378
1,18,18,-0.0175587628,2025-10-08T13:22:56.104378
1,19,19,-0.0175597071,2025-10-08T13:22:56.104378
1,20,20,-0.0175630599,2025-10-08T13:22:56.104378
1,21,21,-0.0175644084,2025-10-08T13:22:56.104378
1,22,22,-0.0175629705,2025-10-08T13:22:56.104378
1,23,23,-0.0175626277,2025-10-08T13:22:56.104378
1,24,24,-0.0175627991,2025-10-08T13:22:56.104378
1,25,25,-0.0175635125,2025-10-08T13:22:56.104378
1,26,26,-0.0175656024,2025-10-08T13:22:56.104378
1,27,27,-0.0175636857,2025-10-08T13:22:56.104378
1,28,28,-0.0175630934,2025-10-08T13:22:56.104378
1,29,29,-0.0175622254,2025-10-08T13:22:56.104378
1,30,30,-0.0175633393,2025-10-08T13:22:56.104378
1,31,31,-0.0175642818,2025-10-08T13:22:56.104378
1,32,32,-0.017562177,2025-10-08T13:22:56.104378
1,33,33,-0.0175599325,2025-10-08T13:22:56.104378
1,34,34,-0.0175595711,2025-10-08T13:22:56.104378
1,35,35,-0.0175590626,2025-10-08T13:22:56.104378
1,36,36,-0.0175584405,2025-10-08T13:22:56.104378
1,37,37,-0.0175573267,2025-10-08T13:22:56.104378
1,38,38,-0.0175550952,2025-10-08T13:22:56.104378
1,39,39,-0.0175530798,2025-10-08T13:22:56.104378
