ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 12:25:04

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000138
total_histeresis_area_w_FP,0.000140
total_histeresis_area_keithley,0.000155
num_cycles_analyzed,2
average_area_per_cycle,0.000069
average_area_per_cycle_w_FP,0.000070
average_area_per_cycle_keithley,0.000077
cycle_areas,"['0.000050', '0.000088']"
cycle_areas_w_FP,"['0.000051', '0.000088']"
cycle_areas_keithley,"['0.000107', '0.000047']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,-0.007399,TIVA Raw
1,Subida,,1.0,,-0.003013,TIVA Raw
1,Subida,,2.0,,0.001376,TIVA Raw
1,Subida,,3.0,,0.005745,TIVA Raw
1,Subida,,4.0,,0.010154,TIVA Raw
1,Subida,,5.0,,0.014529,TIVA Raw
1,Subida,,6.0,,0.018881,TIVA Raw
1,Subida,,6.5,,0.021071,TIVA Raw
1,Subida,,6.8,,0.022376,TIVA Raw
1,Subida,,0.0,-0.007399,,TIVA Filtrado
1,Subida,,1.0,-0.003013,,TIVA Filtrado
1,Subida,,2.0,0.001375,,TIVA Filtrado
1,Subida,,3.0,0.005744,,TIVA Filtrado
1,Subida,,4.0,0.010154,,TIVA Filtrado
1,Subida,,5.0,0.014529,,TIVA Filtrado
1,Subida,,6.0,0.018880,,TIVA Filtrado
1,Subida,,6.5,0.021071,,TIVA Filtrado
1,Subida,,6.8,0.022376,,TIVA Filtrado
1,Subida,-0.007470,0.0,,,KEITHLEY
1,Subida,-0.003040,1.0,,,KEITHLEY
1,Subida,0.001390,2.0,,,KEITHLEY
1,Subida,0.005770,3.0,,,KEITHLEY
1,Subida,0.010230,4.0,,,KEITHLEY
1,Subida,0.014650,5.0,,,KEITHLEY
1,Subida,0.019000,6.0,,,KEITHLEY
1,Subida,0.021250,6.5,,,KEITHLEY
1,Subida,0.022560,6.8,,,KEITHLEY
1,Bajada,,0.0,,-0.007390,TIVA Raw
1,Bajada,,1.0,,-0.003013,TIVA Raw
1,Bajada,,2.0,,0.001374,TIVA Raw
1,Bajada,,3.0,,0.005759,TIVA Raw
1,Bajada,,4.0,,0.010146,TIVA Raw
1,Bajada,,5.0,,0.014511,TIVA Raw
1,Bajada,,6.0,,0.018882,TIVA Raw
1,Bajada,,6.5,,0.021058,TIVA Raw
1,Bajada,,0.0,-0.007390,,TIVA Filtrado
1,Bajada,,1.0,-0.003013,,TIVA Filtrado
1,Bajada,,2.0,0.001375,,TIVA Filtrado
1,Bajada,,3.0,0.005759,,TIVA Filtrado
1,Bajada,,4.0,0.010146,,TIVA Filtrado
1,Bajada,,5.0,0.014511,,TIVA Filtrado
1,Bajada,,6.0,0.018882,,TIVA Filtrado
1,Bajada,,6.5,0.021057,,TIVA Filtrado
1,Bajada,-0.007450,0.0,,,KEITHLEY
1,Bajada,-0.003030,1.0,,,KEITHLEY
1,Bajada,0.001390,2.0,,,KEITHLEY
1,Bajada,0.005790,3.0,,,KEITHLEY
1,Bajada,0.010200,4.0,,,KEITHLEY
1,Bajada,0.014640,5.0,,,KEITHLEY
1,Bajada,0.019020,6.0,,,KEITHLEY
1,Bajada,0.021200,6.5,,,KEITHLEY
2,Subida,,0.0,,-0.007392,TIVA Raw
2,Subida,,1.0,,-0.003007,TIVA Raw
2,Subida,,2.0,,0.001376,TIVA Raw
2,Subida,,3.0,,0.005775,TIVA Raw
2,Subida,,4.0,,0.010160,TIVA Raw
2,Subida,,5.0,,0.014536,TIVA Raw
2,Subida,,6.0,,0.018902,TIVA Raw
2,Subida,,6.5,,0.021079,TIVA Raw
2,Subida,,6.8,,0.022383,TIVA Raw
2,Subida,,0.0,-0.007392,,TIVA Filtrado
2,Subida,,1.0,-0.003007,,TIVA Filtrado
2,Subida,,2.0,0.001375,,TIVA Filtrado
2,Subida,,3.0,0.005775,,TIVA Filtrado
2,Subida,,4.0,0.010160,,TIVA Filtrado
2,Subida,,5.0,0.014536,,TIVA Filtrado
2,Subida,,6.0,0.018902,,TIVA Filtrado
2,Subida,,6.5,0.021079,,TIVA Filtrado
2,Subida,,6.8,0.022383,,TIVA Filtrado
2,Subida,-0.007460,0.0,,,KEITHLEY
2,Subida,-0.003030,1.0,,,KEITHLEY
2,Subida,0.001390,2.0,,,KEITHLEY
2,Subida,0.005820,3.0,,,KEITHLEY
2,Subida,0.010240,4.0,,,KEITHLEY
2,Subida,0.014660,5.0,,,KEITHLEY
2,Subida,0.019060,6.0,,,KEITHLEY
2,Subida,0.021260,6.5,,,KEITHLEY
2,Subida,0.022570,6.8,,,KEITHLEY
2,Bajada,,0.0,,-0.007385,TIVA Raw
2,Bajada,,1.0,,-0.003003,TIVA Raw
2,Bajada,,2.0,,0.001378,TIVA Raw
2,Bajada,,3.0,,0.005761,TIVA Raw
2,Bajada,,4.0,,0.010137,TIVA Raw
2,Bajada,,5.0,,0.014518,TIVA Raw
2,Bajada,,6.0,,0.018877,TIVA Raw
2,Bajada,,6.5,,0.021057,TIVA Raw
2,Bajada,,0.0,-0.007385,,TIVA Filtrado
2,Bajada,,1.0,-0.003003,,TIVA Filtrado
2,Bajada,,2.0,0.001378,,TIVA Filtrado
2,Bajada,,3.0,0.005762,,TIVA Filtrado
2,Bajada,,4.0,0.010138,,TIVA Filtrado
2,Bajada,,5.0,0.014517,,TIVA Filtrado
2,Bajada,,6.0,0.018876,,TIVA Filtrado
2,Bajada,,6.5,0.021057,,TIVA Filtrado
2,Bajada,-0.007450,0.0,,,KEITHLEY
2,Bajada,-0.003030,1.0,,,KEITHLEY
2,Bajada,0.001390,2.0,,,KEITHLEY
2,Bajada,0.005820,3.0,,,KEITHLEY
2,Bajada,0.010250,4.0,,,KEITHLEY
2,Bajada,0.014640,5.0,,,KEITHLEY
2,Bajada,0.019050,6.0,,,KEITHLEY
2,Bajada,0.021240,6.5,,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada (V) w/ FP,Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida (V) w/ FP,Subida KEITHLEY (V),Tipo
-0.007390,-0.007390,-0.007450,1,-0.000009,Histéresis,0.0,-0.007399,-0.007399,-0.007470,Histéresis
-0.003013,-0.003013,-0.003030,1,-0.000000,Histéresis,1.0,-0.003013,-0.003013,-0.003040,Histéresis
0.001374,0.001375,0.001390,1,0.000002,Histéresis,2.0,0.001376,0.001375,0.001390,Histéresis
0.005759,0.005759,0.005790,1,-0.000014,Histéresis,3.0,0.005745,0.005744,0.005770,Histéresis
0.010146,0.010146,0.010200,1,0.000008,Histéresis,4.0,0.010154,0.010154,0.010230,Histéresis
0.014511,0.014511,0.014640,1,0.000018,Histéresis,5.0,0.014529,0.014529,0.014650,Histéresis
0.018882,0.018882,0.019020,1,-0.000001,Histéresis,6.0,0.018881,0.018880,0.019000,Histéresis
0.021058,0.021057,0.021200,1,0.000013,Histéresis,6.5,0.021071,0.021071,0.021250,Histéresis
-0.007385,-0.007385,-0.007450,2,-0.000007,Histéresis,0.0,-0.007392,-0.007392,-0.007460,Histéresis
-0.003003,-0.003003,-0.003030,2,-0.000004,Histéresis,1.0,-0.003007,-0.003007,-0.003030,Histéresis
0.001378,0.001378,0.001390,2,-0.000002,Histéresis,2.0,0.001376,0.001375,0.001390,Histéresis
0.005761,0.005762,0.005820,2,0.000013,Histéresis,3.0,0.005775,0.005775,0.005820,Histéresis
0.010137,0.010138,0.010250,2,0.000023,Histéresis,4.0,0.010160,0.010160,0.010240,Histéresis
0.014518,0.014517,0.014640,2,0.000018,Histéresis,5.0,0.014536,0.014536,0.014660,Histéresis
0.018877,0.018876,0.019050,2,0.000025,Histéresis,6.0,0.018902,0.018902,0.019060,Histéresis
0.021057,0.021057,0.021240,2,0.000022,Histéresis,6.5,0.021079,0.021079,0.021260,Histéresis
-0.007387,-0.007387,-0.007450,Promedio General,-0.000008,Histéresis,0.0,-0.007395,-0.007395,-0.007465,Histéresis
-0.003008,-0.003008,-0.003030,Promedio General,-0.000002,Histéresis,1.0,-0.003010,-0.003010,-0.003035,Histéresis
0.001376,0.001376,0.001390,Promedio General,-0.000000,Histéresis,2.0,0.001376,0.001375,0.001390,Histéresis
0.005760,0.005760,0.005805,Promedio General,-0.000000,Histéresis,3.0,0.005760,0.005759,0.005795,Histéresis
0.010142,0.010142,0.010225,Promedio General,0.000015,Histéresis,4.0,0.010157,0.010157,0.010235,Histéresis
0.014514,0.014514,0.014640,Promedio General,0.000018,Histéresis,5.0,0.014532,0.014532,0.014655,Histéresis
0.018879,0.018879,0.019035,Promedio General,0.000012,Histéresis,6.0,0.018891,0.018891,0.019030,Histéresis
0.021057,0.021057,0.021220,Promedio General,0.000017,Histéresis,6.5,0.021075,0.021075,0.021255,Histéresis

FIN DEL ARCHIVO
