ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 12:18:54

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000073
total_histeresis_area_w_FP,0.000071
total_histeresis_area_keithley,0.000032
num_cycles_analyzed,1
average_area_per_cycle,0.000073
average_area_per_cycle_w_FP,0.000071
average_area_per_cycle_keithley,0.000032
cycle_areas,['0.000073']
cycle_areas_w_FP,['0.000071']
cycle_areas_keithley,['0.000032']

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,-0.007388,TIVA Raw
1,Subida,,3.5,,0.007973,TIVA Raw
1,Subida,,6.5,,0.021082,TIVA Raw
1,Subida,,6.8,,0.022388,TIVA Raw
1,Subida,,0.0,-0.007388,,TIVA Filtrado
1,Subida,,3.5,0.007973,,TIVA Filtrado
1,Subida,,6.5,0.021082,,TIVA Filtrado
1,Subida,,6.8,0.022388,,TIVA Filtrado
1,Subida,-0.007450,0.0,,,KEITHLEY
1,Subida,0.008040,3.5,,,KEITHLEY
1,Subida,0.021260,6.5,,,KEITHLEY
1,Subida,0.022580,6.8,,,KEITHLEY
1,Bajada,,0.0,,-0.007379,TIVA Raw
1,Bajada,,3.5,,0.007968,TIVA Raw
1,Bajada,,6.5,,0.021054,TIVA Raw
1,Bajada,,0.0,-0.007379,,TIVA Filtrado
1,Bajada,,3.5,0.007969,,TIVA Filtrado
1,Bajada,,6.5,0.021054,,TIVA Filtrado
1,Bajada,-0.007440,0.0,,,KEITHLEY
1,Bajada,0.008040,3.5,,,KEITHLEY
1,Bajada,0.021250,6.5,,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada (V) w/ FP,Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida (V) w/ FP,Subida KEITHLEY (V),Tipo
-0.007379,-0.007379,-0.007440,1,-0.000009,Histéresis,0.0,-0.007388,-0.007388,-0.007450,Histéresis
0.007968,0.007969,0.008040,1,0.000005,Histéresis,3.5,0.007973,0.007973,0.008040,Histéresis
0.021054,0.021054,0.021250,1,0.000027,Histéresis,6.5,0.021082,0.021082,0.021260,Histéresis

FIN DEL ARCHIVO
