ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 12:50:38

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000119
total_histeresis_area_w_FP,0.000119
total_histeresis_area_keithley,0.000095
num_cycles_analyzed,1
average_area_per_cycle,0.000119
average_area_per_cycle_w_FP,0.000119
average_area_per_cycle_keithley,0.000095
cycle_areas,['0.000119']
cycle_areas_w_FP,['0.000119']
cycle_areas_keithley,['0.000095']

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,0.007424,TIVA Raw
1,Subida,,3.5,,-0.007986,TIVA Raw
1,Subida,,6.5,,-0.021129,TIVA Raw
1,Subida,,6.8,,-0.022438,TIVA Raw
1,Subida,,0.0,0.007424,,TIVA Filtrado
1,Subida,,3.5,-0.007986,,TIVA Filtrado
1,Subida,,6.5,-0.021129,,TIVA Filtrado
1,Subida,,6.8,-0.022438,,TIVA Filtrado
1,Subida,0.007480,0.0,,,KEITHLEY
1,Subida,-0.008060,3.5,,,KEITHLEY
1,Subida,-0.021320,6.5,,,KEITHLEY
1,Subida,-0.022640,6.8,,,KEITHLEY
1,Bajada,,0.0,,0.007423,TIVA Raw
1,Bajada,,3.5,,-0.007957,TIVA Raw
1,Bajada,,6.5,,-0.021115,TIVA Raw
1,Bajada,,0.0,0.007423,,TIVA Filtrado
1,Bajada,,3.5,-0.007957,,TIVA Filtrado
1,Bajada,,6.5,-0.021114,,TIVA Filtrado
1,Bajada,0.007480,0.0,,,KEITHLEY
1,Bajada,-0.008040,3.5,,,KEITHLEY
1,Bajada,-0.021300,6.5,,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada (V) w/ FP,Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida (V) w/ FP,Subida KEITHLEY (V),Tipo
0.007423,0.007423,0.007480,1,0.000001,Histéresis,0.0,0.007424,0.007424,0.007480,Histéresis
-0.007957,-0.007957,-0.008040,1,-0.000030,Histéresis,3.5,-0.007986,-0.007986,-0.008060,Histéresis
-0.021115,-0.021114,-0.021300,1,-0.000015,Histéresis,6.5,-0.021129,-0.021129,-0.021320,Histéresis

FIN DEL ARCHIVO
