ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-27 13:02:34

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000262
total_histeresis_area_w_FP,0.000258
total_histeresis_area_keithley,0.000092
num_cycles_analyzed,2
average_area_per_cycle,0.000131
average_area_per_cycle_w_FP,0.000129
average_area_per_cycle_keithley,0.000046
cycle_areas,"['0.000122', '0.000140']"
cycle_areas_w_FP,"['0.000120', '0.000138']"
cycle_areas_keithley,"['0.000042', '0.000050']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,0.007243,TIVA Raw
1,Subida,,1.0,,0.002922,TIVA Raw
1,Subida,,2.0,,-0.001398,TIVA Raw
1,Subida,,3.0,,-0.005700,TIVA Raw
1,Subida,,4.0,,-0.010026,TIVA Raw
1,Subida,,5.0,,-0.014328,TIVA Raw
1,Subida,,6.0,,-0.018622,TIVA Raw
1,Subida,,6.5,,-0.020760,TIVA Raw
1,Subida,,6.8,,-0.022043,TIVA Raw
1,Subida,,0.0,0.007243,,TIVA Filtrado
1,Subida,,1.0,0.002922,,TIVA Filtrado
1,Subida,,2.0,-0.001398,,TIVA Filtrado
1,Subida,,3.0,-0.005700,,TIVA Filtrado
1,Subida,,4.0,-0.010026,,TIVA Filtrado
1,Subida,,5.0,-0.014328,,TIVA Filtrado
1,Subida,,6.0,-0.018621,,TIVA Filtrado
1,Subida,,6.5,-0.020760,,TIVA Filtrado
1,Subida,,6.8,-0.022043,,TIVA Filtrado
1,Subida,0.007310,0.0,,,KEITHLEY
1,Subida,0.002950,1.0,,,KEITHLEY
1,Subida,-0.001400,2.0,,,KEITHLEY
1,Subida,-0.005770,3.0,,,KEITHLEY
1,Subida,-0.010110,4.0,,,KEITHLEY
1,Subida,-0.014450,5.0,,,KEITHLEY
1,Subida,-0.018780,6.0,,,KEITHLEY
1,Subida,-0.020940,6.5,,,KEITHLEY
1,Subida,-0.022240,6.8,,,KEITHLEY
1,Bajada,,0.0,,0.007243,TIVA Raw
1,Bajada,,1.0,,0.002935,TIVA Raw
1,Bajada,,2.0,,-0.001383,TIVA Raw
1,Bajada,,3.0,,-0.005690,TIVA Raw
1,Bajada,,4.0,,-0.010001,TIVA Raw
1,Bajada,,5.0,,-0.014294,TIVA Raw
1,Bajada,,6.0,,-0.018589,TIVA Raw
1,Bajada,,6.5,,-0.020761,TIVA Raw
1,Bajada,,0.0,0.007243,,TIVA Filtrado
1,Bajada,,1.0,0.002935,,TIVA Filtrado
1,Bajada,,2.0,-0.001383,,TIVA Filtrado
1,Bajada,,3.0,-0.005691,,TIVA Filtrado
1,Bajada,,4.0,-0.010002,,TIVA Filtrado
1,Bajada,,5.0,-0.014294,,TIVA Filtrado
1,Bajada,,6.0,-0.018589,,TIVA Filtrado
1,Bajada,,6.5,-0.020761,,TIVA Filtrado
1,Bajada,0.007310,0.0,,,KEITHLEY
1,Bajada,0.002950,1.0,,,KEITHLEY
1,Bajada,-0.001400,2.0,,,KEITHLEY
1,Bajada,-0.005750,3.0,,,KEITHLEY
1,Bajada,-0.010100,4.0,,,KEITHLEY
1,Bajada,-0.014440,5.0,,,KEITHLEY
1,Bajada,-0.018780,6.0,,,KEITHLEY
1,Bajada,-0.020950,6.5,,,KEITHLEY
2,Subida,,0.0,,0.007244,TIVA Raw
2,Subida,,1.0,,0.002924,TIVA Raw
2,Subida,,2.0,,-0.001395,TIVA Raw
2,Subida,,3.0,,-0.005712,TIVA Raw
2,Subida,,4.0,,-0.010028,TIVA Raw
2,Subida,,5.0,,-0.014329,TIVA Raw
2,Subida,,6.0,,-0.018622,TIVA Raw
2,Subida,,6.5,,-0.020762,TIVA Raw
2,Subida,,6.8,,-0.022045,TIVA Raw
2,Subida,,0.0,0.007244,,TIVA Filtrado
2,Subida,,1.0,0.002924,,TIVA Filtrado
2,Subida,,2.0,-0.001395,,TIVA Filtrado
2,Subida,,3.0,-0.005712,,TIVA Filtrado
2,Subida,,4.0,-0.010028,,TIVA Filtrado
2,Subida,,5.0,-0.014329,,TIVA Filtrado
2,Subida,,6.0,-0.018622,,TIVA Filtrado
2,Subida,,6.5,-0.020762,,TIVA Filtrado
2,Subida,,6.8,-0.022044,,TIVA Filtrado
2,Subida,0.007310,0.0,,,KEITHLEY
2,Subida,0.002940,1.0,,,KEITHLEY
2,Subida,-0.001400,2.0,,,KEITHLEY
2,Subida,-0.005760,3.0,,,KEITHLEY
2,Subida,-0.010110,4.0,,,KEITHLEY
2,Subida,-0.014460,5.0,,,KEITHLEY
2,Subida,-0.018790,6.0,,,KEITHLEY
2,Subida,-0.020940,6.5,,,KEITHLEY
2,Subida,-0.022240,6.8,,,KEITHLEY
2,Bajada,,0.0,,0.007243,TIVA Raw
2,Bajada,,1.0,,0.002941,TIVA Raw
2,Bajada,,2.0,,-0.001380,TIVA Raw
2,Bajada,,3.0,,-0.005695,TIVA Raw
2,Bajada,,4.0,,-0.009999,TIVA Raw
2,Bajada,,5.0,,-0.014294,TIVA Raw
2,Bajada,,6.0,,-0.018593,TIVA Raw
2,Bajada,,6.5,,-0.020734,TIVA Raw
2,Bajada,,0.0,0.007243,,TIVA Filtrado
2,Bajada,,1.0,0.002941,,TIVA Filtrado
2,Bajada,,2.0,-0.001381,,TIVA Filtrado
2,Bajada,,3.0,-0.005696,,TIVA Filtrado
