Timestamp,Sample,Ciclo,Fase,Bridge VAB (V),KEITHLEY Voltaje (V),Bridge VA (V),Bridge VB (V),Bridge Current (A),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
0.078531,2,1,subida,-0.006245,-0.006244,2.098530,2.102237,0.000785,10.065363,0.0,-0.001,0.0
0.152195,3,1,subida,-0.006260,-0.006245,2.097248,2.102237,0.000785,10.059076,0.0,-0.001,0.0
0.183569,4,1,subida,-0.006244,-0.006246,2.097248,2.103453,0.000785,10.066309,0.0,-0.001,0.0
0.235524,5,1,subida,-0.006263,-0.006247,2.097138,2.103858,0.000785,10.066309,0.0,-0.001,0.0
0.267126,6,1,subida,-0.006242,-0.006247,2.096122,2.103858,0.000785,10.066309,0.0,-0.001,0.0
0.319037,7,1,subida,-0.006265,-0.006249,2.096122,2.102664,0.000784,10.058161,0.0,-0.001,0.0
0.361017,8,1,subida,-0.006242,-0.006252,2.096974,2.102747,0.000785,10.058161,0.0,-0.0,0.0
0.392119,9,1,subida,-0.006269,-0.006251,2.097651,2.102747,0.000785,10.068476,0.0,-0.001,0.0
0.434214,10,1,subida,-0.006236,-0.006247,2.097651,2.103066,0.000785,10.064692,0.0,-0.0,0.0
0.485489,11,1,subida,-0.006266,-0.006246,2.096682,2.103826,0.000785,10.064692,0.0,-0.001,0.0
0.527844,12,1,subida,-0.006231,-0.006246,2.096375,2.103826,0.000785,10.070063,0.0,-0.0,0.0
0.570063,13,1,subida,-0.006267,-0.006246,2.096375,2.103003,0.000785,10.066797,0.0,-0.001,0.0
0.622205,14,1,subida,-0.006267,-0.006246,2.097821,2.103113,0.000785,10.065241,-0.001,0.0,0.0
0.696031,15,1,subida,-0.006227,-0.006246,2.097821,2.102851,0.000785,10.061731,0.0,-0.001,0.0
0.727323,16,1,subida,-0.006267,-0.006247,2.097171,2.103918,0.000785,10.061731,0.0,-0.001,0.0
0.800816,17,1,subida,-0.006267,-0.006248,2.096807,2.103465,0.000785,10.062525,0.0,-0.001,0.0
0.862714,18,1,subida,-0.006230,-0.006252,2.095782,2.102505,0.000785,10.062525,0.0,-0.001,0.0
0.904652,19,1,subida,-0.006269,-0.006248,2.096399,2.102505,0.000785,10.068903,0.0,-0.001,0.0
0.946364,20,1,subida,-0.006225,-0.006247,2.096399,2.101603,0.000783,10.065424,0.0,-0.001,0.0
1.010314,21,1,subida,-0.006219,-0.006241,2.095004,2.099993,0.000784,10.067102,0.0,-0.001,0.0
1.073680,22,1,subida,-0.006258,-0.006240,2.095004,2.102291,0.000784,10.063837,0.0,-0.001,0.0
1.126131,23,1,subida,-0.006259,-0.006242,2.095818,2.101614,0.000784,10.068476,0.0,-0.001,0.0
1.190093,24,1,subida,-0.006224,-0.006242,2.095818,2.099773,0.000784,10.066919,0.0,-0.001,0.0
1.232750,25,1,subida,-0.006258,-0.006242,2.095141,2.102026,0.000784,10.066919,0.0,-0.001,0.0
1.274942,26,1,subida,-0.006226,-0.006242,2.095535,2.102026,0.000784,10.064753,0.0,-0.001,0.0
1.326282,27,1,subida,-0.006259,-0.006246,2.095535,2.103218,0.000784,10.067041,0.0,-0.0,0.0
1.357498,28,1,subida,-0.006234,-0.006248,2.094638,2.100819,0.000784,10.067041,0.0,-0.0,0.0
1.399242,29,1,subida,-0.006261,-0.006246,2.096068,2.100819,0.000784,10.066248,0.0,-0.001,0.0
1.451667,30,1,subida,-0.006233,-0.006243,2.096068,2.100643,0.000784,10.065790,0.0,-0.0,0.0
1.483792,31,1,subida,-0.006258,-0.006243,2.096423,2.101495,0.000783,10.065790,0.0,-0.001,0.0
1.525596,32,1,subida,-0.006234,-0.006243,2.096879,2.101495,0.000784,10.067652,0.0,-0.001,0.0
1.576994,33,1,subida,-0.006256,-0.006243,2.096879,2.103665,0.000785,10.066187,0.0,-0.0,0.0
1.607912,34,1,subida,-0.006239,-0.006245,2.096447,2.103787,0.000785,10.066187,0.0,-0.001,0.0
1.659062,35,1,subida,-0.006259,-0.006246,2.096766,2.103787,0.000785,10.058283,0.0,-0.001,0.0
1.689529,36,1,subida,-0.006243,-0.006246,2.096766,2.102207,0.000784,10.062281,0.0,-0.0,0.0
1.730179,37,1,subida,-0.006259,-0.006246,2.097442,2.103331,0.000785,10.062281,0.0,-0.001,0.0
1.781228,38,1,subida,-0.006246,-0.006246,2.096062,2.103331,0.000785,10.065943,0.0,-0.0,0.0
1.821933,39,1,subida,-0.006258,-0.006248,2.096062,2.103078,0.000785,10.066370,0.0,-0.001,0.0
1.864059,40,1,subida,-0.006253,-0.006250,2.096465,2.101924,0.000784,10.066370,0.0,-0.001,0.0
1.905901,41,1,subida,-0.006258,-0.006246,2.095508,2.101924,0.000784,10.063471,0.0,-0.0,0.0
1.948270,42,1,subida,-0.006251,-0.006244,2.095508,2.100989,0.000783,10.058710,0.0,-0.001,0.0
1.990199,43,1,subida,-0.006251,-0.006243,2.095821,2.100622,0.000783,10.058710,0.0,-0.0,0.0
