Timestamp,Sample,Ciclo,Fase,Bridge VAB (V),KEITHLEY Voltaje (V),Bridge VA (V),Bridge VB (V),Bridge Current (A),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
0.057856,2,1,subida,-0.005573,-0.005598,1.335650,1.985368,0.000637,30.012171,0.0,0.0,0.0
0.091360,3,1,subida,-0.005614,-0.005597,1.335650,1.984154,0.000637,30.014978,0.0,-0.0,0.0
0.140189,4,1,subida,-0.005572,-0.005597,1.377042,1.983502,0.000637,30.014978,0.0,0.0,0.0
0.173517,5,1,subida,-0.005614,-0.005597,1.360472,1.983502,0.000636,30.012232,0.0,0.0,0.0
0.224126,6,1,subida,-0.005594,-0.005601,1.360472,1.983234,0.000637,30.015985,0.0,-0.0,0.0
0.256893,7,1,subida,-0.005613,-0.005595,1.383065,1.984980,0.000637,30.015985,0.0,0.0,0.0
0.307017,8,1,subida,-0.005568,-0.005594,1.297241,1.984980,0.000637,30.021936,0.0,0.0,0.0
0.340631,9,1,subida,-0.005609,-0.005594,1.297241,1.984223,0.000636,30.012110,0.0,0.0,0.0
0.390668,10,1,subida,-0.005570,-0.005592,1.315206,1.983740,0.000637,30.012110,0.0,-0.0,0.0
0.423692,11,1,subida,-0.005608,-0.005594,1.303237,1.983740,0.000637,30.012049,0.0,0.0,0.0
0.472596,12,1,subida,-0.005571,-0.005594,1.303237,1.982545,0.000637,30.009974,0.0,0.0,0.0
0.506978,13,1,subida,-0.005609,-0.005595,1.331758,1.984494,0.000637,30.009974,0.0,0.0,0.0
0.573897,14,1,subida,-0.005608,-0.005597,1.280075,1.984921,0.000636,30.015863,0.0,0.0,0.0
0.657481,15,1,subida,-0.005609,-0.005597,1.304366,1.983389,0.000636,30.012812,-0.0,0.0,0.0
0.726883,16,1,subida,-0.005606,-0.005600,1.304366,1.982599,0.000637,30.008905,0.0,0.0,0.0
0.757354,17,1,subida,-0.005607,-0.005595,1.340210,1.982924,0.000636,30.008905,0.0,0.0,0.0
0.823649,18,1,subida,-0.005602,-0.005592,1.328357,1.983985,0.000636,30.011957,-0.0,0.0,0.0
0.890303,19,1,subida,-0.005584,-0.005592,1.362031,1.983854,0.000637,30.011957,0.0,0.0,0.0
0.926189,20,1,subida,-0.005604,-0.005593,1.348006,1.983854,0.000636,30.009027,0.0,-0.0,0.0
0.973517,21,1,subida,-0.005589,-0.005593,1.348006,1.983427,0.000637,30.008142,0.0,0.0,0.0
1.006582,22,1,subida,-0.005604,-0.005594,1.388785,1.983204,0.000636,30.008142,0.0,-0.0,0.0
1.057135,23,1,subida,-0.005593,-0.005595,1.318031,1.983204,0.000636,30.019526,0.0,0.0,0.0
1.107132,24,1,subida,-0.005596,-0.005595,1.311370,1.983407,0.000636,30.009211,0.0,-0.0,0.0
1.173535,25,1,subida,-0.005601,-0.005595,1.287999,1.983407,0.000636,30.009607,0.0,-0.0,0.0
1.223580,26,1,subida,-0.005619,-0.005600,1.287999,1.982918,0.000636,30.006983,0.0,0.0,0.0
1.256945,27,1,subida,-0.005597,-0.005594,1.329636,1.982131,0.000636,30.006983,0.0,-0.0,0.0
1.306652,28,1,subida,-0.005598,-0.005591,1.297071,1.982131,0.000636,30.013239,0.0,0.0,0.0
1.357264,29,1,subida,-0.005601,-0.005592,1.307815,1.983991,0.000636,30.015345,0.0,0.0,0.0
1.423454,30,1,subida,-0.005591,-0.005593,1.272704,1.983991,0.000635,30.016565,0.0,0.0,0.0
1.473467,31,1,subida,-0.005603,-0.005592,1.272704,1.982030,0.000636,30.004175,0.0,0.0,0.0
1.506834,32,1,subida,-0.005587,-0.005592,1.322942,1.981854,0.000636,30.004175,0.0,0.0,0.0
1.556821,33,1,subida,-0.005606,-0.005593,1.299461,1.981854,0.000636,30.018824,0.0,0.0,0.0
1.606461,34,1,subida,-0.005609,-0.005593,1.309627,1.983994,0.000636,30.010553,0.0,0.0,0.0
1.689329,35,1,subida,-0.005582,-0.005611,1.275965,1.983994,0.000636,30.021112,0.0,0.0,0.0
1.722486,36,1,subida,-0.005626,-0.005600,1.275965,1.983415,0.000636,30.004541,0.0,-0.0,0.0
1.756177,37,1,subida,-0.005578,-0.005594,1.322135,1.983329,0.000636,30.004541,0.0,0.0,0.0
1.805919,38,1,subida,-0.005611,-0.005593,1.301002,1.983329,0.000637,30.012812,0.0,-0.001,0.0
1.872741,39,1,subida,-0.005612,-0.005593,1.317074,1.984196,0.000636,30.014643,0.0,-0.0,0.0
1.940419,40,1,subida,-0.005572,-0.005594,1.269742,1.984196,0.000636,30.015558,0.0,-0.0,0.0
1.976125,41,1,subida,-0.005611,-0.005594,1.269742,1.983538,0.000636,30.012171,0.0,-0.0,0.0
2.022984,42,1,subida,-0.005571,-0.005595,1.316806,1.983517,0.000637,30.012171,0.0,-0.0,0.0
2.056705,43,1,subida,-0.005613,-0.005595,1.299863,1.983517,0.000636,30.016260,0.0,-0.0,0.0
2.106850,44,1,subida,-0.005569,-0.005595,1.299863,1.982864,0.000636,30.011530,0.0,-0.0,0.0
2.140218,45,1,subida,-0.005612,-0.005595,1.316582,1.984578,0.000636,30.011530,0.0,0.0,0.0
2.173208,46,1,subida,-0.005569,-0.005597,1.275589,1.984578,0.000636,30.011774,0.0,-0.0,0.0
2.223909,47,1,subida,-0.005623,-0.005600,1.275589,1.984473,0.000636,30.011194,0.0,0.001,0.0
2.273525,48,1,subida,-0.005569,-0.005593,1.318672,1.983797,0.000636,30.011194,0.0,-0.0,0.0
2.306209,49,1,subida,-0.005609,-0.005592,1.345127,1.983797,0.000636,30.014795,0.0,0.0,0.0
2.356671,50,1,subida,-0.005567,-0.005592,1.345127,1.982480,0.000637,30.016138,0.0,0.0,0.0
2.406219,51,1,subida,-0.005570,-0.005593,1.335674,1.983672,0.000636,30.008142,0.0,0.0,0.0
2.473331,52,1,subida,-0.005608,-0.005594,1.335674,1.984262,0.000636,30.013758,0.0,0.0,0.0
2.556536,53,1,subida,-0.005607,-0.005594,1.309561,1.982778,0.000637,30.009272,0.0,0.0,0.0
2.606791,54,1,subida,-0.005575,-0.005594,1.309561,1.982596,0.000636,30.008326,0.0,-0.0,0.0
2.656686,55,1,subida,-0.005579,-0.005595,1.284989,1.983177,0.000636,30.015985,0.0,-0.001,0.0
