ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-11-11 10:55:35

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,89674.689604
total_histeresis_area_keithley,0.137205
num_cycles_analyzed,4
average_area_per_cycle,22418.672401
average_area_per_cycle_keithley,0.034301
cycle_areas,"['17092.807678', '23650.072917', '7491.447529', '41440.361479']"
cycle_areas_keithley,"['0.075040', '0.025700', '0.022568', '0.013897']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Raw (V),Tipo
1,Subida,,0.0,-754183.204852,TIVA Raw
1,Subida,,3.5,811815.792135,TIVA Raw
1,Subida,,6.8,2283787.312500,TIVA Raw
1,Subida,,6.86,2311367.500000,TIVA Raw
1,Subida,24.888601,0.0,,KEITHLEY
1,Subida,24.887220,3.5,,KEITHLEY
1,Subida,24.886951,6.8,,KEITHLEY
1,Subida,24.894951,6.86,,KEITHLEY
1,Bajada,,0.0,-755298.760234,TIVA Raw
1,Bajada,,3.5,809796.481865,TIVA Raw
1,Bajada,,6.8,2278772.202899,TIVA Raw
1,Bajada,24.898548,0.0,,KEITHLEY
1,Bajada,24.899130,3.5,,KEITHLEY
1,Bajada,24.897339,6.8,,KEITHLEY
2,Subida,,0.0,-755370.896825,TIVA Raw
2,Subida,,3.5,812257.536269,TIVA Raw
2,Subida,,6.8,2283134.500000,TIVA Raw
2,Subida,,6.86,2312150.891975,TIVA Raw
2,Subida,24.898656,0.0,,KEITHLEY
2,Subida,24.895483,3.5,,KEITHLEY
2,Subida,24.899329,6.8,,KEITHLEY
2,Subida,24.891491,6.86,,KEITHLEY
2,Bajada,,0.0,-755636.782857,TIVA Raw
2,Bajada,,3.5,815824.094241,TIVA Raw
2,Bajada,,6.8,2289836.606218,TIVA Raw
2,Bajada,24.901357,0.0,,KEITHLEY
2,Bajada,24.896777,3.5,,KEITHLEY
2,Bajada,24.889284,6.8,,KEITHLEY
3,Subida,,0.0,-755632.091429,TIVA Raw
3,Subida,,3.5,814281.437500,TIVA Raw
3,Subida,,6.8,2288332.212291,TIVA Raw
3,Subida,,6.86,2316007.380368,TIVA Raw
3,Subida,24.894564,0.0,,KEITHLEY
3,Subida,24.895639,3.5,,KEITHLEY
3,Subida,24.899899,6.8,,KEITHLEY
3,Subida,24.901202,6.86,,KEITHLEY
3,Bajada,,0.0,-753572.411765,TIVA Raw
3,Bajada,,3.5,814211.873995,TIVA Raw
3,Bajada,,6.8,2286119.792776,TIVA Raw
3,Bajada,24.900096,0.0,,KEITHLEY
3,Bajada,24.892203,3.5,,KEITHLEY
3,Bajada,24.899169,6.8,,KEITHLEY
4,Subida,,0.0,-747804.036745,TIVA Raw
4,Subida,,3.5,796771.506562,TIVA Raw
4,Subida,,6.8,2248787.315927,TIVA Raw
4,Subida,,6.86,2290885.907407,TIVA Raw
4,Subida,24.903255,0.0,,KEITHLEY
4,Subida,24.898816,3.5,,KEITHLEY
4,Subida,24.903704,6.8,,KEITHLEY
4,Subida,24.904687,6.86,,KEITHLEY
4,Bajada,,0.0,-741067.737968,TIVA Raw
4,Bajada,,3.5,803921.318421,TIVA Raw
4,Bajada,,6.8,2245549.450292,TIVA Raw
4,Bajada,24.906503,0.0,,KEITHLEY
4,Bajada,24.900350,3.5,,KEITHLEY
4,Bajada,24.901887,6.8,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida KEITHLEY (V),Tipo
-755298.760234,24.898548,1,1115.555382,Histéresis,0.0,-754183.204852,24.888601,Histéresis
809796.481865,24.899130,1,2019.310270,Histéresis,3.5,811815.792135,24.887220,Histéresis
2278772.202899,24.897339,1,5015.109601,Histéresis,6.8,2283787.312500,24.886951,Histéresis
-755636.782857,24.901357,2,265.886032,Histéresis,0.0,-755370.896825,24.898656,Histéresis
815824.094241,24.896777,2,-3566.557971,Histéresis,3.5,812257.536269,24.895483,Histéresis
2289836.606218,24.889284,2,-6702.106218,Histéresis,6.8,2283134.500000,24.899329,Histéresis
-753572.411765,24.900096,3,-2059.679664,Histéresis,0.0,-755632.091429,24.894564,Histéresis
814211.873995,24.892203,3,69.563505,Histéresis,3.5,814281.437500,24.895639,Histéresis
2286119.792776,24.899169,3,2212.419515,Histéresis,6.8,2288332.212291,24.899899,Histéresis
-741067.737968,24.906503,4,-6736.298777,Histéresis,0.0,-747804.036745,24.903255,Histéresis
803921.318421,24.900350,4,-7149.811859,Histéresis,3.5,796771.506562,24.898816,Histéresis
2245549.450292,24.901887,4,3237.865634,Histéresis,6.8,2248787.315927,24.903704,Histéresis
-751393.923206,24.901626,Promedio General,-1853.634257,Histéresis,0.0,-753247.557463,24.896269,Histéresis
810938.442130,24.897115,Promedio General,-2156.874014,Histéresis,3.5,808781.568116,24.894290,Histéresis
2275069.513046,24.896920,Promedio General,940.822133,Histéresis,6.8,2276010.335179,24.897471,Histéresis

FIN DEL ARCHIVO
