Timestamp,Sample,Ciclo,Fase,TIVA Voltage (V),KEITHLEY Voltage (V),TIVA Temp (C),Alicat Presion (kPA),Alicat Setpoint (kPA),Setpoint Enviado (kPA)
15:49:12,1,1,subida,-809356.000000,25.049891,-0.007534,0.0,0.0,0.0
15:49:13,10,1,subida,-809472.000000,25.050074,-0.007535,0.0,0.0,0.0
15:49:13,17,1,subida,-809530.000000,25.047510,-0.007537,0.0,-0.0,0.0
15:49:14,28,1,subida,-809638.000000,25.047327,-0.007537,-0.001,0.0,0.0
15:49:14,37,1,subida,-809662.000000,25.048243,-0.007533,0.0,-0.0,0.0
15:49:14,47,1,subida,-809591.000000,25.049128,-0.007532,0.0,-0.0,0.0
15:49:15,57,1,subida,-809199.000000,25.048609,-0.007533,-0.0,0.0,0.0
15:49:15,66,1,subida,-809066.000000,25.048883,-0.007531,0.0,-0.001,0.0
15:49:16,76,1,subida,-809011.000000,25.048731,-0.007531,-0.0,0.0,0.0
15:49:16,86,1,subida,-808969.000000,25.048029,-0.007529,0.0,-0.0,0.0
15:49:16,94,1,subida,-808957.000000,25.048365,-0.007530,0.0,-0.0,0.0
15:49:17,103,1,subida,-809039.000000,25.050043,-0.007530,0.0,0.0,0.0
15:49:17,110,1,subida,-809110.000000,25.048120,-0.007531,0.0,-0.001,0.0
15:49:17,118,1,subida,-809359.000000,25.046473,-0.007532,0.0,0.0,0.0
15:49:18,126,1,subida,-809332.000000,25.047602,-0.007533,0.0,-0.0,0.0
15:49:18,134,1,subida,-809286.000000,25.049555,-0.007532,0.0,0.0,0.0
15:49:19,141,1,subida,-809154.000000,25.048182,-0.007531,0.0,0.0,0.0
15:49:19,149,1,subida,-808896.000000,25.048792,-0.007529,0.0,-0.001,0.0
15:49:19,156,1,subida,-809096.000000,25.048365,-0.007530,0.0,0.0,0.0
15:49:20,163,1,subida,-809173.000000,25.047754,-0.007532,0.0,-0.0,0.0
15:49:20,171,1,subida,-809431.000000,25.049128,-0.007533,0.0,0.0,0.0
15:49:21,178,1,subida,-809223.000000,25.049952,-0.007532,0.0,-0.0,0.0
15:49:21,186,1,subida,-809263.000000,25.048883,-0.007531,0.0,-0.0,0.0
15:49:21,193,1,subida,-809426.000000,25.046137,-0.007534,-0.001,0.0,0.0
