ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-11-12 14:47:47

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,9639.785566
total_histeresis_area_keithley,0.002881
num_cycles_analyzed,4
average_area_per_cycle,2409.946391
average_area_per_cycle_keithley,0.000720
cycle_areas,"['2742.870800', '2642.949682', '1113.240497', '3140.724587']"
cycle_areas_keithley,"['0.000717', '0.000863', '0.000358', '0.000943']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Raw (V),Tipo
1,Subida,,0.0,-5922571.754430,TIVA Raw
1,Subida,,1.961,-5916316.394667,TIVA Raw
1,Subida,,3.922,-5909871.226667,TIVA Raw
1,Subida,,5.884,-5903333.445623,TIVA Raw
1,Subida,,7.845,-5896731.807606,TIVA Raw
1,Subida,,9.806,-5890443.449864,TIVA Raw
1,Subida,,11.767,-5884112.808791,TIVA Raw
1,Subida,-1.763773,0.0,,KEITHLEY
1,Subida,-1.761919,1.961,,KEITHLEY
1,Subida,-1.759992,3.922,,KEITHLEY
1,Subida,-1.758046,5.884,,KEITHLEY
1,Subida,-1.756080,7.845,,KEITHLEY
1,Subida,-1.754205,9.806,,KEITHLEY
1,Subida,-1.752317,11.767,,KEITHLEY
1,Bajada,,0.0,-5923134.801444,TIVA Raw
1,Bajada,,1.961,-5916626.345745,TIVA Raw
1,Bajada,,3.922,-5910010.420213,TIVA Raw
1,Bajada,,5.883,-5903439.485095,TIVA Raw
1,Bajada,,7.845,-5897018.097113,TIVA Raw
1,Bajada,,9.806,-5890605.448549,TIVA Raw
1,Bajada,,11.767,-5884126.616622,TIVA Raw
1,Bajada,-1.763939,0.0,,KEITHLEY
1,Bajada,-1.762000,1.961,,KEITHLEY
1,Bajada,-1.760022,3.922,,KEITHLEY
1,Bajada,-1.758064,5.883,,KEITHLEY
1,Bajada,-1.756154,7.845,,KEITHLEY
1,Bajada,-1.754246,9.806,,KEITHLEY
1,Bajada,-1.752324,11.767,,KEITHLEY
2,Subida,,0.0,-5923381.474627,TIVA Raw
