ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-28 17:19:44

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000140
total_histeresis_area_w_FP,0.000153
total_histeresis_area_keithley,0.000178
num_cycles_analyzed,2
average_area_per_cycle,0.000070
average_area_per_cycle_w_FP,0.000076
average_area_per_cycle_keithley,0.000089
cycle_areas,"['0.000082', '0.000058']"
cycle_areas_w_FP,"['0.000088', '0.000065']"
cycle_areas_keithley,"['0.000081', '0.000097']"

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Filtrado (V),TIVA Raw (V),Tipo
1,Subida,,0.0,,-0.007561,TIVA Raw
1,Subida,,1.0,,-0.003083,TIVA Raw
1,Subida,,2.0,,0.001419,TIVA Raw
1,Subida,,3.0,,0.005911,TIVA Raw
1,Subida,,4.0,,0.010394,TIVA Raw
1,Subida,,5.0,,0.014872,TIVA Raw
1,Subida,,6.0,,0.019335,TIVA Raw
1,Subida,,6.5,,0.021527,TIVA Raw
1,Subida,,6.8,,0.022861,TIVA Raw
1,Subida,,0.0,-0.007561,,TIVA Filtrado
1,Subida,,1.0,-0.003087,,TIVA Filtrado
1,Subida,,2.0,0.001419,,TIVA Filtrado
1,Subida,,3.0,0.005910,,TIVA Filtrado
1,Subida,,4.0,0.010394,,TIVA Filtrado
1,Subida,,5.0,0.014871,,TIVA Filtrado
1,Subida,,6.0,0.019334,,TIVA Filtrado
1,Subida,,6.5,0.021526,,TIVA Filtrado
1,Subida,,6.8,0.022860,,TIVA Filtrado
1,Subida,-0.007557,0.0,,,KEITHLEY
1,Subida,-0.003072,1.0,,,KEITHLEY
1,Subida,0.001418,2.0,,,KEITHLEY
1,Subida,0.005906,3.0,,,KEITHLEY
1,Subida,0.010387,4.0,,,KEITHLEY
1,Subida,0.014860,5.0,,,KEITHLEY
1,Subida,0.019323,6.0,,,KEITHLEY
1,Subida,0.021531,6.5,,,KEITHLEY
1,Subida,0.022865,6.8,,,KEITHLEY
1,Bajada,,0.0,,-0.007554,TIVA Raw
1,Bajada,,1.0,,-0.003067,TIVA Raw
1,Bajada,,2.0,,0.001408,TIVA Raw
1,Bajada,,3.0,,0.005902,TIVA Raw
1,Bajada,,4.0,,0.010382,TIVA Raw
1,Bajada,,5.0,,0.014849,TIVA Raw
1,Bajada,,6.0,,0.019341,TIVA Raw
1,Bajada,,6.5,,0.021517,TIVA Raw
1,Bajada,,0.0,-0.007554,,TIVA Filtrado
1,Bajada,,1.0,-0.003067,,TIVA Filtrado
1,Bajada,,2.0,0.001407,,TIVA Filtrado
1,Bajada,,3.0,0.005899,,TIVA Filtrado
