ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-11-10 16:17:21

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,87149.031592
total_histeresis_area_keithley,0.043381
num_cycles_analyzed,1
average_area_per_cycle,87149.031592
average_area_per_cycle_keithley,0.043381
cycle_areas,['87149.031592']
cycle_areas_keithley,['0.043381']

DATOS DE HISTÉRESIS - ANÁLISIS COMPLETO
"Este archivo contiene promedios por fase, datos interpolados de histéresis y promedios generales"

PROMEDIOS POR FASE Y SETPOINT
Ciclo,Fase,KEITHLEY (V),Setpoint (kPA),TIVA Raw (V),Tipo
1,Subida,,0.0,-809143.294118,TIVA Raw
1,Subida,,1.0,-353366.346154,TIVA Raw
1,Subida,,2.0,101506.339623,TIVA Raw
1,Subida,,3.0,563676.791667,TIVA Raw
1,Subida,,4.0,1021495.058824,TIVA Raw
1,Subida,,5.0,1474653.352941,TIVA Raw
1,Subida,,6.0,1930951.098039,TIVA Raw
1,Subida,,6.86,2322802.568627,TIVA Raw
1,Subida,25.047575,0.0,,KEITHLEY
1,Subida,25.050308,1.0,,KEITHLEY
1,Subida,25.055155,2.0,,KEITHLEY
1,Subida,25.047054,3.0,,KEITHLEY
1,Subida,25.035781,4.0,,KEITHLEY
1,Subida,25.034549,5.0,,KEITHLEY
1,Subida,25.046364,6.0,,KEITHLEY
1,Subida,25.041437,6.86,,KEITHLEY
1,Bajada,,0.0,-787218.040000,TIVA Raw
1,Bajada,,1.0,-330976.000000,TIVA Raw
1,Bajada,,2.0,121181.980392,TIVA Raw
1,Bajada,,3.0,577120.769231,TIVA Raw
1,Bajada,,4.0,1032919.725490,TIVA Raw
1,Bajada,,5.0,1481882.557692,TIVA Raw
1,Bajada,,6.0,1934996.235294,TIVA Raw
1,Bajada,25.047993,0.0,,KEITHLEY
1,Bajada,25.049813,1.0,,KEITHLEY
1,Bajada,25.040610,2.0,,KEITHLEY
1,Bajada,25.033031,3.0,,KEITHLEY
1,Bajada,25.038394,4.0,,KEITHLEY
1,Bajada,25.045292,5.0,,KEITHLEY
1,Bajada,25.047870,6.0,,KEITHLEY

DATOS DE HISTÉRESIS (Interpolados)
Bajada (V),Bajada KEITHLEY (V),Ciclo,Error Histéresis (V),Fase,Setpoint (kPA),Subida (V),Subida KEITHLEY (V),Tipo
-787218.040000,25.047993,1,-21925.254118,Histéresis,0.0,-809143.294118,25.047575,Histéresis
-330976.000000,25.049813,1,-22390.346154,Histéresis,1.0,-353366.346154,25.050308,Histéresis
121181.980392,25.040610,1,-19675.640770,Histéresis,2.0,101506.339623,25.055155,Histéresis
577120.769231,25.033031,1,-13443.977564,Histéresis,3.0,563676.791667,25.047054,Histéresis
1032919.725490,25.038394,1,-11424.666667,Histéresis,4.0,1021495.058824,25.035781,Histéresis
1481882.557692,25.045292,1,-7229.204751,Histéresis,5.0,1474653.352941,25.034549,Histéresis
1934996.235294,25.047870,1,-4045.137255,Histéresis,6.0,1930951.098039,25.046364,Histéresis

FIN DEL ARCHIVO
