Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0004,-0.004551,-0.004084,24.9
2,0.0007,-0.004653999999999999,-0.004138,24.9
3,0.0010,-0.0047610000000000005,-0.004197,24.9
4,0.0012,-0.004601,-0.004235999999999999,24.9
5,0.0014,-0.0043749999999999995,-0.004249,24.9
6,0.0016,-0.004268,-0.004251,24.9
7,0.0019,-0.00409,-0.004235999999999999,24.9
8,0.0021,-0.00391,-0.0042049999999999995,24.9
9,0.0023,-0.003752,-0.004162000000000001,24.9
10,0.0025,-0.0035989999999999998,-0.0041080000000000005,24.9
11,0.0028,-0.0034440000000000004,-0.004045,24.9
12,0.0030,-0.0033380000000000003,-0.003978000000000001,24.9
13,0.0032,-0.0033780000000000004,-0.003921,24.9
14,0.0034,-0.003517,-0.003882,24.9
15,0.0035,-0.003657,-0.0038610000000000003,24.9
16,0.0037,-0.0037870000000000004,-0.0038540000000000002,24.9
17,0.0039,-0.003913000000000001,-0.003859,24.9
18,0.0041,-0.0040349999999999995,-0.003876,24.9
19,0.0043,-0.00415,-0.003902,24.9
20,0.0045,-0.0042569999999999995,-0.003936,24.9
21,0.0067,-0.004358,-0.003976,24.9
22,0.0072,-0.004454,-0.004021,24.9
23,0.0075,-0.004535,-0.00407,24.9
24,0.0077,-0.00463,-0.004124,24.9
25,0.0079,-0.004752,-0.004183000000000001,24.9
26,0.0082,-0.004666,-0.004229,24.9
27,0.0083,-0.004445,-0.0042499999999999994,24.9
28,0.0085,-0.004301,-0.004254999999999999,24.9
29,0.0087,-0.004132,-0.004243,24.9
30,0.0090,-0.003946,-0.004214999999999999,24.9
31,0.0092,-0.0037790000000000002,-0.0041730000000000005,24.9
32,0.0094,-0.003622,-0.0041210000000000005,24.9
33,0.0096,-0.0034660000000000003,-0.004059,24.9
34,0.0098,-0.003331,-0.003989,24.9
35,0.0100,-0.003329,-0.003927,24.9
36,0.0102,-0.0034540000000000005,-0.003882,24.9
37,0.0104,-0.00359,-0.0038540000000000002,24.9
38,0.0106,-0.0037170000000000003,-0.0038410000000000002,24.9
39,0.0108,-0.003844,-0.0038410000000000002,24.9
40,0.0110,-0.003968,-0.003853,24.9
41,0.0122,-0.004085,-0.003875,24.9
42,0.0627,-0.004196,-0.003906,24.9
43,0.1126,-0.004302,-0.003943,24.9
44,0.1629,-0.0044020000000000005,-0.003987,24.9
45,0.2131,-0.004491,-0.0040349999999999995,24.9
46,0.2635,-0.0045780000000000005,-0.004087,24.9
47,0.3138,-0.004693,-0.004144,24.9
48,0.3641,-0.004692,-0.004196,24.9
49,0.4143,-0.00449,-0.0042239999999999995,24.9
50,0.4647,-0.004308,-0.004232,24.9
51,0.5149,-0.0041670000000000006,-0.004226,24.9
52,0.5651,-0.003982,-0.004203,24.9
53,0.6155,-0.003806,-0.004165,24.9
54,0.6658,-0.003648,-0.004116,24.9
55,0.7160,-0.0034980000000000002,-0.004057,24.9
56,0.7663,-0.0033510000000000002,-0.0039900000000000005,24.9
57,0.8167,-0.003311,-0.003925,24.9
58,0.8669,-0.0034140000000000004,-0.0038770000000000002,24.91
59,0.9170,-0.003552,-0.003846,24.91
60,0.9674,-0.003684,-0.00383,24.9
61,1.0178,-0.003811,-0.003829,24.9
62,1.0684,-0.003935,-0.003839,24.9
63,1.1187,-0.004055,-0.003859,24.9
64,1.1684,-0.004169000000000001,-0.003889,24.9
65,1.2188,-0.004278,-0.003926,24.9
66,1.2690,-0.0043820000000000005,-0.003969,24.9
67,1.3194,-0.004475,-0.004017,24.9
68,1.3696,-0.004556,-0.004069000000000001,24.91
69,1.4202,-0.004665,-0.004125,24.91
70,1.4701,-0.004737,-0.004183000000000001,24.91
71,1.5204,-0.0045590000000000006,-0.004219,24.91
72,1.5707,-0.004346,-0.0042309999999999995,24.9
73,1.6210,-0.004221,-0.004229999999999999,24.9
74,1.6714,-0.004033,-0.0042109999999999995,24.9
75,1.7216,-0.003852,-0.004177,24.9
76,1.7722,-0.003691,-0.004131,24.9
77,1.8222,-0.003537,-0.004075,24.9
78,1.8724,-0.0033810000000000003,-0.004009,24.9
79,1.9227,-0.003299,-0.003941,24.9
80,1.9730,-0.00337,-0.0038870000000000003,24.9
81,2.0233,-0.00351,-0.0038510000000000003,24.9
82,2.0735,-0.003647,-0.003831,24.9
83,2.1238,-0.003775,-0.003826,24.9
84,2.1740,-0.0039000000000000003,-0.003833,24.9
85,2.2244,-0.004025,-0.0038510000000000003,24.9
86,2.2747,-0.004142000000000001,-0.003879,24.9
87,2.3251,-0.004253,-0.003915,24.9
88,2.3751,-0.004357,-0.0039570000000000004,24.9
89,2.4260,-0.004451,-0.004004,24.9
90,2.4760,-0.004531,-0.0040539999999999994,24.9
91,2.5261,-0.004634999999999999,-0.004109000000000001,24.9
92,2.5764,-0.004755,-0.004171,24.9
93,2.6265,-0.004612,-0.004213,24.9
94,2.6769,-0.0043749999999999995,-0.004228,24.9
95,2.7272,-0.004255999999999999,-0.0042309999999999995,24.9
96,2.7775,-0.004077,-0.004215999999999999,24.9
97,2.8278,-0.0038919999999999996,-0.004185,24.9
98,2.8780,-0.003723,-0.004141000000000001,24.9
99,2.9283,-0.003563,-0.004086,24.9
100,2.9789,-0.003405,-0.004022,24.9
101,3.0292,-0.003292,-0.003952000000000001,24.9
102,3.0792,-0.003325,-0.0038919999999999996,24.9
103,3.1294,-0.0034710000000000006,-0.003852,24.9
104,3.1797,-0.003616,-0.00383,24.9
105,3.2303,-0.0037430000000000002,-0.003822,24.9
106,3.2802,-0.003869,-0.003826,24.9
107,3.3308,-0.003993000000000001,-0.003842,24.9
108,3.3811,-0.004111,-0.0038680000000000003,24.9
109,3.4310,-0.0042239999999999995,-0.003902,24.9
110,3.4813,-0.004333,-0.003943,24.9
111,3.5321,-0.004432,-0.003989,24.9
112,3.5819,-0.004517,-0.004039,24.9
113,3.6322,-0.004608,-0.004093,24.9
114,3.6825,-0.004724,-0.0041530000000000004,24.9
115,3.7328,-0.00467,-0.004203,24.9
116,3.7831,-0.004458,-0.004227,24.9
117,3.8333,-0.004305,-0.004233999999999999,24.9
118,3.8836,-0.004154,-0.004227,24.9
119,3.9338,-0.003974,-0.004203,24.9
120,3.9842,-0.003812,-0.004166,24.9
121,4.0347,-0.003664,-0.004118,24.9
122,4.0848,-0.003515,-0.00406,24.9
123,4.1350,-0.0033810000000000003,-0.003996,24.9
124,4.1852,-0.003367,-0.003936,24.9
125,4.2356,-0.0034840000000000006,-0.0038929999999999998,24.9
126,4.2859,-0.003617,-0.003867,24.9
127,4.3361,-0.003742,-0.003855,24.9
128,4.3864,-0.00386,-0.003855,24.9
129,4.4370,-0.003973000000000001,-0.003867,24.9
130,4.4869,-0.004084,-0.0038870000000000003,24.9
131,4.5373,-0.00419,-0.003916,24.9
132,4.5875,-0.004293999999999999,-0.003952000000000001,24.9
133,4.6379,-0.0043939999999999995,-0.003994,24.9
134,4.6881,-0.004483000000000001,-0.004041,24.9
135,4.7384,-0.004569000000000001,-0.004091,24.9
136,4.7889,-0.004685,-0.0041470000000000005,24.9
137,4.8389,-0.004715,-0.004201,24.9
138,4.8891,-0.004524,-0.004232,24.9
139,4.9394,-0.00434,-0.004242,24.9
140,4.9901,-0.004219,-0.00424,24.9
141,5.0404,-0.004048,-0.004222,24.9
142,5.0907,-0.0038840000000000003,-0.00419,24.9
143,5.1406,-0.0037340000000000003,-0.004146,24.9
144,5.1909,-0.003586,-0.004093,24.9
145,5.2412,-0.0034380000000000005,-0.004031,24.9
146,5.2914,-0.003383,-0.003969,24.9
147,5.3421,-0.0034630000000000004,-0.003921,24.9
148,5.3923,-0.0035919999999999997,-0.00389,24.9
149,5.4422,-0.0037180000000000004,-0.003873,24.9
150,5.4924,-0.003837,-0.00387,24.9
151,5.5429,-0.003949,-0.0038770000000000002,24.91
152,5.5933,-0.004061,-0.0038949999999999996,24.91
153,5.6433,-0.00417,-0.003921,24.9
154,5.6936,-0.0042769999999999996,-0.003955,24.9
155,5.7439,-0.004379,-0.003995,24.91
156,5.7942,-0.004473,-0.004041,24.91
157,5.8450,-0.004556,-0.00409,24.9
158,5.8950,-0.0046630000000000005,-0.004144,24.9
159,5.9450,-0.004756,-0.004202,24.9
160,5.9954,-0.004588000000000001,-0.004239,24.9
161,6.0460,-0.004371,-0.004252,24.9
162,6.0959,-0.004266,-0.004253,24.9
163,6.1462,-0.0040939999999999995,-0.004238,24.9
164,6.1965,-0.003925,-0.004208,24.9
165,6.2468,-0.003772,-0.0041670000000000006,24.9
166,6.2970,-0.003621,-0.004115,24.9
167,6.3474,-0.0034690000000000003,-0.004053,24.9
