Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0009,0.0023870000000000002,0.0015940000000000001,20.07
2,0.0015,0.0025570000000000002,0.001686,20.08
3,0.0028,0.002647,0.0017770000000000002,20.08
4,0.0033,0.0025,0.001846,20.08
5,0.0037,0.002245,0.001884,20.08
6,0.0040,0.002056,0.0019000000000000002,20.07
7,0.0044,0.001865,0.001897,20.07
8,0.0047,0.001675,0.0018759999999999998,20.08
9,0.0049,0.001494,0.001839,20.08
10,0.0052,0.001317,0.0017900000000000001,20.08
11,0.0054,0.001146,0.001729,20.08
12,0.0056,0.001029,0.001662,20.08
13,0.0058,0.001023,0.001601,20.08
14,0.0060,0.001101,0.001554,20.07
15,0.0063,0.001211,0.001521,20.07
16,0.0066,0.001338,0.0015040000000000001,20.08
17,0.0069,0.00147,0.0015,20.08
18,0.0071,0.0015970000000000001,0.00151,20.07
19,0.0075,0.001719,0.0015300000000000001,20.07
20,0.0077,0.001839,0.0015589999999999998,20.07
21,0.0225,0.001957,0.0015970000000000001,20.07
22,0.0228,0.0019840000000000005,0.0016340000000000003,20.08
23,0.0230,0.0018679999999999999,0.001656,20.08
24,0.0233,0.001706,0.001661,20.08
25,0.0236,0.0015450000000000001,0.00165,20.08
26,0.0238,0.001374,0.0016240000000000002,20.08
27,0.0240,0.0012040000000000002,0.0015840000000000001,20.08
28,0.0243,0.0010420000000000002,0.0015320000000000002,20.07
29,0.0245,0.000883,0.00147,20.07
30,0.0248,0.000741,0.001401,20.08
31,0.0250,0.000705,0.001335,20.08
32,0.0252,0.0008210000000000001,0.001286,20.08
33,0.0255,0.0010450000000000001,0.001263,20.08
34,0.0257,0.001328,0.001269,20.08
35,0.0261,0.001619,0.001302,20.08
36,0.0265,0.001882,0.0013579999999999998,20.07
37,0.0267,0.0021049999999999997,0.001429,20.07
38,0.0270,0.0023049999999999998,0.001512,20.08
39,0.0272,0.0024850000000000002,0.001605,20.08
40,0.0276,0.002632,0.0017020000000000002,20.07
41,0.0289,0.0025700000000000002,0.0017850000000000001,20.07
42,0.0663,0.002334,0.001837,20.08
43,0.1164,0.002129,0.001865,20.08
44,0.1669,0.0019410000000000002,0.001872,20.08
45,0.2171,0.001758,0.0018609999999999998,20.08
46,0.2673,0.00158,0.001835,20.07
47,0.3174,0.001407,0.0017940000000000002,20.07
48,0.3680,0.001239,0.0017410000000000001,20.08
49,0.4180,0.0010940000000000001,0.00168,20.08
50,0.4685,0.0010470000000000002,0.001619,20.07
51,0.5186,0.0011040000000000002,0.00157,20.07
52,0.5691,0.0012020000000000002,0.0015350000000000001,20.07
53,0.6194,0.001321,0.001515,20.07
54,0.6695,0.001449,0.001509,20.08
55,0.7197,0.001574,0.001515,20.08
56,0.7700,0.0016940000000000002,0.0015320000000000002,20.07
57,0.8202,0.001815,0.0015589999999999998,20.07
58,0.8707,0.0019330000000000003,0.0015940000000000001,20.08
59,0.9210,0.002015,0.0016340000000000003,20.08
60,0.9712,0.0019490000000000002,0.0016640000000000001,20.08
61,1.0215,0.001789,0.001676,20.08
62,1.0716,0.0016450000000000002,0.001673,20.07
63,1.1219,0.001485,0.001655,20.07
64,1.1721,0.001317,0.001623,20.07
65,1.2225,0.001157,0.0015789999999999999,20.07
66,1.2728,0.000998,0.001523,20.08
67,1.3230,0.00084,0.0014579999999999999,20.08
68,1.3734,0.000757,0.001392,20.07
69,1.4236,0.000814,0.001337,20.07
70,1.4739,0.000998,0.001305,20.07
71,1.5244,0.001259,0.0013,20.07
72,1.5744,0.001549,0.001324,20.08
73,1.6247,0.001824,0.001372,20.08
74,1.6750,0.0020580000000000004,0.0014370000000000001,20.07
75,1.7252,0.002265,0.001516,20.07
76,1.7757,0.002452,0.001605,20.07
77,1.8258,0.002614,0.001701,20.07
78,1.8759,0.002653,0.001791,20.08
79,1.9264,0.0024720000000000002,0.0018559999999999998,20.08
80,1.9767,0.002232,0.001892,20.08
81,2.0268,0.002052,0.0019070000000000003,20.08
82,2.0772,0.001875,0.0019040000000000003,20.08
83,2.1272,0.001696,0.001884,20.08
84,2.1776,0.001526,0.0018499999999999999,20.08
85,2.2278,0.001362,0.001804,20.08
86,2.2781,0.0012020000000000002,0.0017460000000000002,20.08
87,2.3283,0.0011120000000000001,0.001686,20.08
88,2.3788,0.0011330000000000001,0.0016330000000000001,20.07
89,2.4291,0.001213,0.001593,20.07
90,2.4794,0.00132,0.001567,20.08
91,2.5295,0.00144,0.001555,20.08
92,2.5799,0.0015589999999999998,0.0015559999999999999,20.07
93,2.6301,0.001676,0.001567,20.08
94,2.6805,0.0017920000000000002,0.001588,20.08
95,2.7306,0.0019080000000000002,0.001619,20.07
96,2.7809,0.002016,0.001657,20.07
97,2.8314,0.002005,0.00169,20.08
98,2.8814,0.0018729999999999999,0.0017070000000000002,20.08
99,2.9317,0.0017280000000000002,0.001709,20.08
100,2.9823,0.001576,0.001696,20.08
101,3.0322,0.0014140000000000001,0.00167,20.08
102,3.0827,0.001252,0.0016300000000000002,20.08
103,3.1329,0.001098,0.0015789999999999999,20.07
104,3.1832,0.0009420000000000001,0.001519,20.07
105,3.2334,0.0008190000000000001,0.001452,20.07
106,3.2837,0.000813,0.0013909999999999999,20.07
107,3.3340,0.0009500000000000001,0.001349,20.07
108,3.3842,0.001181,0.001333,20.07
109,3.4346,0.0014609999999999998,0.001345,20.08
110,3.4849,0.0017440000000000003,0.001383,20.08
111,3.5352,0.001992,0.001441,20.07
112,3.5855,0.002207,0.0015140000000000002,20.07
113,3.6358,0.0024000000000000002,0.001598,20.08
114,3.6859,0.0025710000000000004,0.001691,20.08
115,3.7361,0.002689,0.001786,20.07
