Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0006,-0.0017940000000000002,-0.001691,20.01
2,0.0008,-0.001799,-0.001701,20.01
3,0.0011,-0.001802,-0.001711,20.01
4,0.0013,-0.001807,-0.0017200000000000002,20.01
5,0.0015,-0.001811,-0.001729,20.01
6,0.0019,-0.001813,-0.0017370000000000003,20.0
7,0.0021,-0.001814,-0.0017440000000000003,20.0
8,0.0023,-0.001816,-0.001751,20.01
9,0.0025,-0.001817,-0.001757,20.01
10,0.0028,-0.001817,-0.001763,20.0
11,0.0030,-0.001817,-0.001768,20.01
12,0.0032,-0.001818,-0.001773,20.01
13,0.0036,-0.001818,-0.0017770000000000002,20.01
14,0.0039,-0.001818,-0.001781,20.01
15,0.0041,-0.001814,-0.0017840000000000002,20.0
16,0.0045,-0.001803,-0.001786,20.0
17,0.0051,-0.0017840000000000002,-0.001786,20.01
18,0.0053,-0.001753,-0.001783,20.01
19,0.0057,-0.0017130000000000001,-0.001776,20.01
20,0.0059,-0.001666,-0.001766,20.01
21,0.0079,-0.001613,-0.001751,20.01
22,0.0088,-0.001553,-0.0017320000000000002,20.01
23,0.0091,-0.00149,-0.001709,20.0
24,0.0094,-0.001428,-0.0016820000000000001,20.0
25,0.0096,-0.001377,-0.001653,20.0
26,0.0098,-0.001338,-0.001623,20.0
27,0.0100,-0.0013059999999999999,-0.001593,20.01
28,0.0103,-0.0012820000000000002,-0.001564,20.01
29,0.0105,-0.0012670000000000001,-0.0015350000000000001,20.01
30,0.0107,-0.001258,-0.001509,20.01
31,0.0109,-0.001257,-0.001485,20.0
32,0.0111,-0.00126,-0.001464,20.0
33,0.0114,-0.001268,-0.001445,20.0
34,0.0119,-0.0012820000000000002,-0.00143,20.0
35,0.0126,-0.0013009999999999999,-0.001417,20.0
36,0.0131,-0.001323,-0.001408,20.0
37,0.0137,-0.001347,-0.001403,20.0
38,0.0142,-0.001374,-0.0014,20.0
39,0.0146,-0.0014,-0.0014,20.01
40,0.0149,-0.001429,-0.001403,20.01
41,0.0302,-0.001462,-0.001408,20.0
42,0.0805,-0.001493,-0.001416,20.0
43,0.1306,-0.001521,-0.001426,20.0
44,0.1811,-0.0015470000000000002,-0.001438,20.0
45,0.2314,-0.001571,-0.0014509999999999998,20.0
46,0.2817,-0.001595,-0.001464,20.0
47,0.3320,-0.001619,-0.0014789999999999998,20.0
48,0.3822,-0.001641,-0.001494,20.0
49,0.4325,-0.001661,-0.00151,20.0
50,0.4828,-0.00168,-0.001526,20.0
51,0.5331,-0.001698,-0.001543,20.01
52,0.5832,-0.0017130000000000001,-0.0015589999999999998,20.01
53,0.6336,-0.001729,-0.001575,20.0
54,0.6839,-0.0017430000000000002,-0.001591,20.0
55,0.7341,-0.001755,-0.0016070000000000001,20.0
56,0.7844,-0.001765,-0.0016220000000000002,20.0
57,0.8347,-0.001773,-0.001636,20.0
58,0.8850,-0.0017800000000000001,-0.00165,20.0
59,0.9353,-0.001786,-0.001663,20.01
60,0.9855,-0.001791,-0.001675,20.01
61,1.0358,-0.0017970000000000002,-0.0016870000000000001,20.01
62,1.0861,-0.001803,-0.001698,20.01
63,1.1363,-0.001807,-0.001708,20.0
64,1.1866,-0.00181,-0.0017180000000000001,20.0
65,1.2369,-0.001814,-0.0017270000000000002,20.0
66,1.2871,-0.001816,-0.0017350000000000002,20.0
67,1.3374,-0.0018189999999999999,-0.0017430000000000002,20.01
68,1.3877,-0.00182,-0.001751,20.01
69,1.4378,-0.001823,-0.001758,20.01
70,1.4880,-0.001826,-0.0017640000000000002,20.01
71,1.5385,-0.001829,-0.00177,20.01
72,1.5886,-0.001831,-0.001776,20.01
73,1.6390,-0.001832,-0.001781,20.0
74,1.6893,-0.001832,-0.001786,20.0
75,1.7397,-0.001829,-0.0017900000000000001,20.01
76,1.7898,-0.001821,-0.001793,20.01
77,1.8401,-0.001803,-0.0017940000000000002,20.01
78,1.8904,-0.001773,-0.0017920000000000002,20.01
79,1.9406,-0.0017350000000000002,-0.0017870000000000002,20.0
80,1.9909,-0.001688,-0.0017770000000000002,20.0
81,2.0411,-0.0016350000000000002,-0.0017640000000000002,20.0
82,2.0915,-0.001575,-0.0017460000000000002,20.0
83,2.1417,-0.001512,-0.0017240000000000003,20.0
84,2.1920,-0.001449,-0.0016970000000000002,20.0
85,2.2422,-0.001395,-0.001669,20.0
86,2.2925,-0.0013529999999999998,-0.001639,20.0
87,2.3429,-0.0013189999999999999,-0.001608,20.0
88,2.3930,-0.001293,-0.001578,20.0
89,2.4434,-0.001276,-0.001549,20.0
90,2.4937,-0.001268,-0.001523,20.0
91,2.5438,-0.001265,-0.001498,20.01
92,2.5943,-0.001268,-0.0014759999999999999,20.01
93,2.6445,-0.0012770000000000001,-0.001457,20.0
94,2.6948,-0.0012900000000000001,-0.001441,20.0
95,2.7450,-0.001307,-0.001429,20.0
96,2.7953,-0.001326,-0.001419,20.0
97,2.8456,-0.001349,-0.001412,20.0
98,2.8959,-0.001374,-0.0014089999999999999,20.0
99,2.9462,-0.001401,-0.001408,20.0
100,2.9964,-0.001429,-0.00141,20.0
101,3.0467,-0.0014579999999999999,-0.0014140000000000001,20.0
102,3.0970,-0.001487,-0.001421,20.0
103,3.1472,-0.001516,-0.00143,20.0
104,3.1975,-0.001543,-0.001441,20.0
105,3.2478,-0.00157,-0.0014529999999999999,20.0
106,3.2979,-0.001596,-0.001467,20.0
107,3.3483,-0.0016200000000000001,-0.001481,20.0
108,3.3986,-0.0016430000000000001,-0.001497,20.0
109,3.4489,-0.001666,-0.001513,20.0
110,3.4991,-0.001688,-0.0015300000000000001,20.0
111,3.5494,-0.0017070000000000002,-0.001546,20.01
112,3.5998,-0.0017240000000000003,-0.001563,20.01
113,3.6500,-0.0017400000000000002,-0.00158,20.01
114,3.7003,-0.0017540000000000001,-0.0015970000000000001,20.01
115,3.7505,-0.001768,-0.001613,20.01
116,3.8008,-0.001781,-0.001629,20.01
117,3.8510,-0.0017940000000000002,-0.0016450000000000002,20.01
118,3.9014,-0.001805,-0.00166,20.01
119,3.9516,-0.001815,-0.001675,20.0
120,4.0019,-0.001824,-0.001689,20.0
121,4.0521,-0.001833,-0.001703,20.0
122,4.1024,-0.00184,-0.001716,20.0
123,4.1527,-0.001846,-0.0017280000000000002,20.0
124,4.2030,-0.0018529999999999998,-0.0017400000000000002,20.0
125,4.2533,-0.0018599999999999999,-0.001751,20.0
126,4.3033,-0.0018659999999999998,-0.0017620000000000001,20.0
127,4.3536,-0.0018709999999999998,-0.001773,20.01
128,4.4041,-0.0018759999999999998,-0.0017820000000000002,20.01
129,4.4543,-0.001878,-0.0017920000000000002,20.01
130,4.5045,-0.00188,-0.0018,20.01
131,4.5549,-0.001883,-0.001808,20.01
132,4.6052,-0.001887,-0.001815,20.01
133,4.6555,-0.0018909999999999999,-0.001823,20.0
134,4.7057,-0.001894,-0.001829,20.0
135,4.7560,-0.001894,-0.001836,20.0
136,4.8063,-0.001887,-0.001841,20.0
137,4.8566,-0.00187,-0.001843,20.0
138,4.9067,-0.001842,-0.001843,20.0
139,4.9569,-0.001803,-0.001839,20.0
140,5.0074,-0.001755,-0.001831,20.0
141,5.0575,-0.0017000000000000001,-0.0018189999999999999,20.0
142,5.1079,-0.0016400000000000002,-0.001802,20.0
143,5.1581,-0.001575,-0.0017800000000000001,20.01
144,5.2086,-0.001512,-0.001755,20.01
145,5.2587,-0.001457,-0.001726,20.0
146,5.3090,-0.0014140000000000001,-0.0016970000000000002,20.0
147,5.3594,-0.0013789999999999998,-0.001667,20.0
148,5.4095,-0.001352,-0.0016370000000000002,20.0
149,5.4597,-0.001332,-0.001608,20.01
150,5.5101,-0.0013189999999999999,-0.00158,20.01
151,5.5604,-0.001312,-0.001555,20.0
152,5.6106,-0.00131,-0.0015320000000000002,20.0
153,5.6610,-0.001314,-0.001511,20.0
154,5.7112,-0.001323,-0.001493,20.01
155,5.7615,-0.001337,-0.001478,20.01
156,5.8118,-0.001354,-0.0014659999999999999,20.01
157,5.8620,-0.001375,-0.0014579999999999999,20.01
158,5.9123,-0.001398,-0.001452,20.0
159,5.9624,-0.001422,-0.001449,20.0
160,6.0128,-0.0014470000000000002,-0.001449,20.0
161,6.0631,-0.001475,-0.0014509999999999998,20.0
162,6.1134,-0.001502,-0.0014559999999999998,20.01
163,6.1637,-0.0015300000000000001,-0.0014629999999999999,20.01
164,6.2139,-0.0015559999999999999,-0.001472,20.01
165,6.2641,-0.001581,-0.001482,20.01
166,6.3145,-0.0016040000000000002,-0.001494,20.0
167,6.3648,-0.001628,-0.001507,20.0
168,6.4150,-0.00165,-0.00152,20.0
169,6.4653,-0.00167,-0.0015350000000000001,20.0
170,6.5156,-0.00169,-0.001549,20.0
171,6.5660,-0.001709,-0.001565,20.0
172,6.6160,-0.001726,-0.00158,20.0
173,6.6664,-0.0017410000000000001,-0.001595,20.0
174,6.7166,-0.001755,-0.00161,20.01
175,6.7668,-0.001769,-0.001626,20.01
176,6.8172,-0.0017820000000000002,-0.0016400000000000002,20.01
177,6.8676,-0.001793,-0.001655,20.01
