Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0004,-0.002834,-0.0028770000000000002,24.919999999999998
2,0.0007,-0.0027760000000000003,-0.002867,24.919999999999998
3,0.0009,-0.002722,-0.002853,24.93
4,0.0011,-0.002686,-0.002837,24.93
5,0.0013,-0.00267,-0.002821,24.919999999999998
6,0.0015,-0.002677,-0.002808,24.919999999999998
7,0.0018,-0.0027110000000000003,-0.002799,24.93
8,0.0021,-0.0027680000000000005,-0.002796,24.93
9,0.0023,-0.002842,-0.0028,24.93
10,0.0025,-0.002922,-0.002812,24.93
11,0.0027,-0.0029840000000000005,-0.0028280000000000002,24.93
12,0.0029,-0.003016,-0.002846,24.93
13,0.0031,-0.003025,-0.002863,24.93
14,0.0033,-0.003016,-0.0028780000000000003,24.93
15,0.0035,-0.002992,-0.0028880000000000004,24.93
16,0.0037,-0.0029560000000000003,-0.0028949999999999996,24.93
17,0.0039,-0.002909,-0.0028959999999999997,24.93
18,0.0041,-0.002854,-0.0028919999999999996,24.93
19,0.0043,-0.002797,-0.002883,24.93
20,0.0044,-0.0027500000000000003,-0.00287,24.93
21,0.0060,-0.0027210000000000003,-0.002856,24.93
22,0.0064,-0.0027140000000000003,-0.002843,24.93
23,0.0067,-0.0027300000000000002,-0.002832,24.93
24,0.0069,-0.0027660000000000002,-0.002826,24.93
25,0.0072,-0.002819,-0.002825,24.93
26,0.0074,-0.0028840000000000003,-0.002831,24.93
27,0.0076,-0.0029410000000000005,-0.002841,24.93
28,0.0078,-0.0029720000000000002,-0.002854,24.93
29,0.0080,-0.0029800000000000004,-0.002866,24.93
30,0.0082,-0.0029720000000000002,-0.002876,24.93
31,0.0084,-0.0029480000000000005,-0.002883,24.93
32,0.0087,-0.0029110000000000004,-0.002885,24.93
33,0.0089,-0.002863,-0.002883,24.93
34,0.0091,-0.002806,-0.002876,24.93
35,0.0093,-0.0027470000000000003,-0.0028640000000000002,24.93
36,0.0096,-0.002698,-0.0028480000000000003,24.93
37,0.0098,-0.0026680000000000002,-0.002831,24.93
38,0.0100,-0.00266,-0.002815,24.93
39,0.0102,-0.0026780000000000003,-0.002802,24.93
40,0.0105,-0.0027210000000000003,-0.002794,24.93
41,0.0281,-0.002785,-0.002793,24.93
42,0.0783,-0.0028640000000000002,-0.0028,24.93
43,0.1287,-0.0029400000000000003,-0.002813,24.93
44,0.1789,-0.0029890000000000003,-0.00283,24.93
45,0.2291,-0.00301,-0.002847,24.93
46,0.2795,-0.003012,-0.002863,24.93
47,0.3298,-0.002996,-0.002875,24.93
48,0.3801,-0.0029660000000000003,-0.0028840000000000003,24.93
49,0.4305,-0.002925,-0.0028880000000000004,24.93
50,0.4806,-0.0028740000000000003,-0.0028870000000000002,24.93
51,0.5309,-0.002816,-0.00288,24.93
52,0.5811,-0.0027610000000000004,-0.0028680000000000003,24.93
53,0.6314,-0.00272,-0.002854,24.93
54,0.6817,-0.0026989999999999996,-0.00284,24.93
55,0.7325,-0.0027010000000000003,-0.002826,24.93
56,0.7827,-0.002725,-0.002817,24.93
57,0.8325,-0.0027680000000000005,-0.002812,24.93
58,0.8832,-0.002826,-0.002813,24.93
59,0.9331,-0.0028899999999999998,-0.002821,24.93
60,0.9838,-0.0029360000000000002,-0.002832,24.93
61,1.0336,-0.0029570000000000004,-0.002844,24.93
