Muestra,Tiempo (s),Voltaje (V),Temperatura (°C)
0,0.000851,-117609904.000000,780753.000
1,0.002862,-114163680.000000,782009.000
2,0.004778,-111322800.000000,782009.000
3,0.006539,-112098176.000000,782222.000
4,0.008773,-116155464.000000,781714.000
5,0.011507,-120497104.000000,781714.000
6,0.013860,-124544904.000000,781321.000
7,0.015643,-128264568.000000,781321.000
8,0.018045,-131505184.000000,781242.000
9,0.020234,-134132040.000000,781242.000
10,0.022302,-135975968.000000,781199.000
11,0.024186,-137106416.000000,781199.000
12,0.025885,-137894784.000000,782592.000
13,0.027583,-138621696.000000,782592.000
14,0.030047,-139451952.000000,782942.000
15,0.032111,-140663280.000000,782942.000
16,0.034326,-142142656.000000,782723.000
17,0.036479,-143081392.000000,782723.000
18,0.040732,-140665936.000000,783390.000
19,0.042547,-135887648.000000,783390.000
20,0.045019,-131052928.000000,784245.000
21,0.046837,-126028648.000000,784245.000
22,0.049360,-122033280.000000,785084.000
23,0.051650,-118933776.000000,785084.000
24,0.053652,-115461824.000000,786175.000
25,0.055474,-111680064.000000,786175.000
26,0.057261,-110893064.000000,786356.000
27,0.059770,-114026936.000000,786210.000
28,0.061778,-118609904.000000,786210.000
29,0.063535,-123079984.000000,785876.000
30,0.065355,-127100888.000000,785876.000
31,0.074347,-135693648.000000,786528.000
32,0.076587,-136907104.000000,786528.000
33,0.078989,-137698784.000000,788304.000
34,0.081253,-138254272.000000,788304.000
35,0.083418,-138846960.000000,788667.000
36,0.085426,-140107360.000000,788667.000
37,0.087245,-141781024.000000,789666.000
38,0.096702,-143059728.000000,789666.000
39,0.148981,-141695664.000000,791364.000
40,0.201586,-138110272.000000,791364.000
41,0.253377,-133446992.000000,793395.000
42,0.357449,-123631968.000000,795737.000
43,0.409587,-120111832.000000,795737.000
44,0.461720,-116767192.000000,798718.000
45,0.513895,-113228288.000000,798718.000
46,0.566136,-110942344.000000,803299.000
47,0.618044,-111542736.000000,983255.000
48,0.670368,-114479920.000000,983255.000
49,0.722443,-118374816.000000,1125172.000
50,0.774680,-122070464.000000,1125172.000
51,0.827081,-125252312.000000,1125263.000
52,0.878778,-128038704.000000,1125263.000
53,0.931222,-130414848.000000,1125347.000
54,0.983048,-132102072.000000,1125347.000
55,1.087327,-133801760.000000,1124745.000
56,1.139488,-134144760.000000,1122369.000
57,1.191581,-135382416.000000,1122369.000
58,1.243925,-136911488.000000,1124986.000
59,1.296205,-137976208.000000,1124986.000
60,1.348078,-138173472.000000,1126466.000
61,1.400527,-135553472.000000,1126466.000
62,1.452218,-130943200.000000,1123515.000
63,1.504742,-126091040.000000,1123515.000
64,1.556952,-121606384.000000,1116779.000
65,1.609304,-117989720.000000,1116779.000
66,1.660815,-114678400.000000,1119583.000
67,1.713009,-111529624.000000,1136777.000
68,1.765371,-108468056.000000,1136777.000
69,1.817292,-108263936.000000,1132615.000
70,1.869486,-111804864.000000,1132615.000
71,1.921843,-116192904.000000,1130630.000
72,1.973937,-119965472.000000,1130630.000
73,2.025754,-122653568.000000,1248282.000
74,2.078223,-124958624.000000,1248282.000
75,2.130116,-127192880.000000,1317752.000
76,2.182513,-129160400.000000,1317752.000
77,2.234315,-130447920.000000,1317114.000
78,2.286716,-130937744.000000,1317114.000
79,2.338835,-131149488.000000,1320359.000
80,2.390669,-131825048.000000,1320359.000
81,2.443180,-133197360.000000,1322946.000
82,2.495201,-134633872.000000,1322946.000
83,2.547351,-135707504.000000,1329071.000
84,2.599797,-133935016.000000,1329071.000
85,2.651406,-129951056.000000,1327657.000
86,2.703743,-125938752.000000,1327657.000
