Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0005,-0.00717,-0.007168000000000001,29.97
2,0.0008,-0.007171,-0.007168000000000001,29.97
3,0.0011,-0.00717,-0.007168000000000001,29.97
4,0.0014,-0.007169000000000001,-0.007168000000000001,29.97
5,0.0016,-0.007169000000000001,-0.007168000000000001,29.97
6,0.0020,-0.007169000000000001,-0.007168000000000001,29.97
7,0.0022,-0.00717,-0.007169000000000001,29.97
8,0.0025,-0.00717,-0.007169000000000001,29.97
9,0.0027,-0.007172,-0.007169000000000001,29.97
10,0.0030,-0.007171,-0.007169000000000001,29.97
11,0.0032,-0.00717,-0.007169000000000001,29.97
12,0.0034,-0.007169000000000001,-0.007169000000000001,29.97
13,0.0037,-0.007168000000000001,-0.007169000000000001,29.97
14,0.0039,-0.007167000000000001,-0.007169000000000001,29.97
15,0.0041,-0.0071660000000000005,-0.007169000000000001,29.97
16,0.0043,-0.0071660000000000005,-0.007168000000000001,29.97
17,0.0045,-0.007167000000000001,-0.007168000000000001,29.97
18,0.0047,-0.0071660000000000005,-0.007168000000000001,29.97
19,0.0049,-0.0071660000000000005,-0.007168000000000001,29.97
20,0.0051,-0.0071660000000000005,-0.007168000000000001,29.97
21,0.0188,-0.007167000000000001,-0.007168000000000001,29.97
22,0.0190,-0.007168000000000001,-0.007168000000000001,29.97
23,0.0193,-0.007169000000000001,-0.007168000000000001,29.97
24,0.0195,-0.00717,-0.007168000000000001,29.97
25,0.0197,-0.00717,-0.007168000000000001,29.97
26,0.0200,-0.007169000000000001,-0.007168000000000001,29.97
27,0.0202,-0.007168000000000001,-0.007168000000000001,29.97
28,0.0204,-0.007167000000000001,-0.007168000000000001,29.97
29,0.0207,-0.007167000000000001,-0.007168000000000001,29.97
30,0.0209,-0.007168000000000001,-0.007168000000000001,29.97
31,0.0212,-0.007168000000000001,-0.007168000000000001,29.97
32,0.0214,-0.007168000000000001,-0.007168000000000001,29.97
33,0.0216,-0.007167000000000001,-0.007168000000000001,29.97
34,0.0218,-0.007167000000000001,-0.007168000000000001,29.97
35,0.0220,-0.007167000000000001,-0.007168000000000001,29.97
36,0.0223,-0.007167000000000001,-0.007168000000000001,29.97
37,0.0225,-0.007167000000000001,-0.007168000000000001,29.97
38,0.0227,-0.007168000000000001,-0.007168000000000001,29.97
39,0.0229,-0.007167000000000001,-0.007168000000000001,29.97
40,0.0232,-0.007167000000000001,-0.007168000000000001,29.97
41,0.0366,-0.007167000000000001,-0.007167000000000001,29.97
42,0.0868,-0.007167000000000001,-0.007167000000000001,29.97
43,0.1372,-0.007167000000000001,-0.007167000000000001,29.97
44,0.1875,-0.0071660000000000005,-0.007167000000000001,29.97
45,0.2378,-0.007165,-0.007167000000000001,29.97
46,0.2881,-0.0071660000000000005,-0.007167000000000001,29.97
47,0.3384,-0.007168000000000001,-0.007167000000000001,29.97
48,0.3887,-0.007168000000000001,-0.007167000000000001,29.97
49,0.4391,-0.007168000000000001,-0.007167000000000001,29.97
50,0.4894,-0.007167000000000001,-0.007167000000000001,29.97
51,0.5398,-0.007168000000000001,-0.007167000000000001,29.97
52,0.5903,-0.007168000000000001,-0.007167000000000001,29.97
53,0.6403,-0.007167000000000001,-0.007167000000000001,29.97
54,0.6903,-0.007167000000000001,-0.007167000000000001,29.97
55,0.7403,-0.007168000000000001,-0.007167000000000001,29.97
56,0.7906,-0.007167000000000001,-0.007167000000000001,29.97
57,0.8409,-0.0071660000000000005,-0.007167000000000001,29.97
58,0.8915,-0.007165,-0.007167000000000001,29.97
59,0.9419,-0.0071660000000000005,-0.007167000000000001,29.97
60,0.9917,-0.0071660000000000005,-0.007167000000000001,29.97
61,1.0421,-0.007167000000000001,-0.007167000000000001,29.97
62,1.0928,-0.007167000000000001,-0.007167000000000001,29.97
63,1.1427,-0.007167000000000001,-0.007167000000000001,29.97
64,1.1929,-0.0071660000000000005,-0.007167000000000001,29.97
