Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0007,-0.007165,-0.007164,29.98
2,0.0010,-0.007165,-0.007164,29.98
3,0.0012,-0.007165,-0.007165,29.98
4,0.0015,-0.007165,-0.007165,29.98
5,0.0020,-0.007165,-0.007165,29.98
6,0.0035,-0.007165,-0.007165,29.98
7,0.0039,-0.007165,-0.007165,29.98
8,0.0042,-0.007164,-0.007165,29.98
9,0.0045,-0.007164,-0.007165,29.98
10,0.0047,-0.007165,-0.007165,29.98
11,0.0050,-0.007165,-0.007165,29.98
12,0.0052,-0.007165,-0.007165,29.98
13,0.0055,-0.007165,-0.007165,29.98
14,0.0058,-0.007165,-0.007165,29.98
15,0.0060,-0.007165,-0.007165,29.98
16,0.0063,-0.0071660000000000005,-0.007165,29.98
17,0.0065,-0.007165,-0.007165,29.98
18,0.0068,-0.007165,-0.007165,29.98
19,0.0070,-0.007165,-0.007165,29.98
20,0.0073,-0.007165,-0.007165,29.98
21,0.0224,-0.007165,-0.007165,29.98
22,0.0229,-0.007165,-0.007165,29.98
23,0.0233,-0.007165,-0.007165,29.98
24,0.0235,-0.007165,-0.007165,29.98
25,0.0238,-0.007165,-0.007165,29.98
26,0.0240,-0.007165,-0.007165,29.98
27,0.0243,-0.007165,-0.007165,29.98
28,0.0246,-0.007165,-0.007165,29.98
29,0.0249,-0.007165,-0.007165,29.98
30,0.0251,-0.0071660000000000005,-0.007165,29.98
31,0.0254,-0.007165,-0.007165,29.98
32,0.0257,-0.007165,-0.007165,29.98
33,0.0261,-0.007165,-0.007165,29.98
34,0.0266,-0.007165,-0.007165,29.98
35,0.0269,-0.007165,-0.007165,29.98
36,0.0273,-0.007165,-0.007165,29.98
37,0.0275,-0.007165,-0.007165,29.98
38,0.0278,-0.007165,-0.007165,29.98
39,0.0280,-0.007165,-0.007165,29.98
40,0.0282,-0.007165,-0.007165,29.98
41,0.0529,-0.007165,-0.007165,29.98
42,0.1031,-0.0071660000000000005,-0.007165,29.98
43,0.1533,-0.007165,-0.007165,29.98
44,0.2036,-0.007165,-0.007165,29.98
45,0.2537,-0.007165,-0.007165,29.98
46,0.3041,-0.007165,-0.007165,29.98
47,0.3542,-0.007165,-0.007165,29.98
48,0.4045,-0.007165,-0.007165,29.98
49,0.4549,-0.007165,-0.007165,29.98
50,0.5052,-0.007165,-0.007165,29.98
51,0.5556,-0.007165,-0.007165,29.98
52,0.6058,-0.007165,-0.007165,29.98
53,0.6561,-0.007164,-0.007165,29.98
54,0.7063,-0.007165,-0.007165,29.98
55,0.7567,-0.0071660000000000005,-0.007165,29.98
56,0.8067,-0.0071660000000000005,-0.007165,29.98
57,0.8571,-0.0071660000000000005,-0.007165,29.98
58,0.9075,-0.007165,-0.007165,29.98
59,0.9577,-0.007165,-0.007165,29.98
60,1.0080,-0.007165,-0.007165,29.98
61,1.0583,-0.007165,-0.007165,29.98
62,1.1084,-0.007165,-0.007165,29.98
63,1.1587,-0.0071660000000000005,-0.007165,29.98
64,1.2090,-0.0071660000000000005,-0.007165,29.98
65,1.2591,-0.0071660000000000005,-0.007165,29.98
66,1.3096,-0.0071660000000000005,-0.007165,29.98
67,1.3597,-0.007165,-0.007165,29.98
68,1.4100,-0.0071660000000000005,-0.007165,29.98
69,1.4605,-0.0071660000000000005,-0.007165,29.98
70,1.5110,-0.0071660000000000005,-0.007165,29.98
71,1.5609,-0.0071660000000000005,-0.0071660000000000005,29.98
72,1.6113,-0.0071660000000000005,-0.0071660000000000005,29.98
73,1.6616,-0.0071660000000000005,-0.0071660000000000005,29.98
74,1.7119,-0.0071660000000000005,-0.0071660000000000005,29.98
75,1.7624,-0.0071660000000000005,-0.0071660000000000005,29.98
76,1.8127,-0.0071660000000000005,-0.0071660000000000005,29.98
77,1.8626,-0.0071660000000000005,-0.0071660000000000005,29.98
78,1.9132,-0.0071660000000000005,-0.0071660000000000005,29.98
79,1.9631,-0.007165,-0.0071660000000000005,29.98
80,2.0134,-0.007165,-0.0071660000000000005,29.98
81,2.0637,-0.007165,-0.0071660000000000005,29.98
82,2.1140,-0.0071660000000000005,-0.0071660000000000005,29.98
83,2.1643,-0.0071660000000000005,-0.0071660000000000005,29.98
84,2.2146,-0.0071660000000000005,-0.0071660000000000005,29.98
85,2.2651,-0.0071660000000000005,-0.0071660000000000005,29.98
86,2.3151,-0.0071660000000000005,-0.0071660000000000005,29.98
87,2.3654,-0.0071660000000000005,-0.0071660000000000005,29.98
88,2.4160,-0.0071660000000000005,-0.0071660000000000005,29.98
89,2.4661,-0.0071660000000000005,-0.0071660000000000005,29.98
90,2.5166,-0.0071660000000000005,-0.0071660000000000005,29.98
91,2.5666,-0.007165,-0.0071660000000000005,29.98
92,2.6168,-0.007165,-0.0071660000000000005,29.98
93,2.6671,-0.0071660000000000005,-0.0071660000000000005,29.98
94,2.7173,-0.0071660000000000005,-0.0071660000000000005,29.98
95,2.7677,-0.0071660000000000005,-0.0071660000000000005,29.98
96,2.8180,-0.0071660000000000005,-0.0071660000000000005,29.98
97,2.8684,-0.0071660000000000005,-0.0071660000000000005,29.98
98,2.9186,-0.0071660000000000005,-0.0071660000000000005,29.98
99,2.9687,-0.0071660000000000005,-0.0071660000000000005,29.98
100,3.0190,-0.0071660000000000005,-0.0071660000000000005,29.98
101,3.0694,-0.0071660000000000005,-0.0071660000000000005,29.98
102,3.1197,-0.0071660000000000005,-0.0071660000000000005,29.98
103,3.1700,-0.0071660000000000005,-0.0071660000000000005,29.98
104,3.2204,-0.0071660000000000005,-0.0071660000000000005,29.98
105,3.2704,-0.0071660000000000005,-0.0071660000000000005,29.98
106,3.3208,-0.0071660000000000005,-0.0071660000000000005,29.98
107,3.3712,-0.0071660000000000005,-0.0071660000000000005,29.98
108,3.4213,-0.0071660000000000005,-0.0071660000000000005,29.98
109,3.4716,-0.0071660000000000005,-0.0071660000000000005,29.98
110,3.5220,-0.0071660000000000005,-0.0071660000000000005,29.98
111,3.5720,-0.0071660000000000005,-0.0071660000000000005,29.98
112,3.6223,-0.0071660000000000005,-0.0071660000000000005,29.98
113,3.6726,-0.0071660000000000005,-0.0071660000000000005,29.98
114,3.7232,-0.0071660000000000005,-0.0071660000000000005,29.98
115,3.7733,-0.007167000000000001,-0.0071660000000000005,29.98
116,3.8234,-0.0071660000000000005,-0.0071660000000000005,29.98
117,3.8741,-0.0071660000000000005,-0.0071660000000000005,29.98
118,3.9240,-0.0071660000000000005,-0.0071660000000000005,29.98
119,3.9742,-0.007167000000000001,-0.0071660000000000005,29.98
120,4.0250,-0.007167000000000001,-0.0071660000000000005,29.98
121,4.0749,-0.0071660000000000005,-0.0071660000000000005,29.98
122,4.1251,-0.0071660000000000005,-0.0071660000000000005,29.98
123,4.1754,-0.0071660000000000005,-0.0071660000000000005,29.98
124,4.2257,-0.0071660000000000005,-0.0071660000000000005,29.98
125,4.2760,-0.0071660000000000005,-0.0071660000000000005,29.98
126,4.3263,-0.0071660000000000005,-0.0071660000000000005,29.98
127,4.3765,-0.0071660000000000005,-0.0071660000000000005,29.98
128,4.4267,-0.0071660000000000005,-0.0071660000000000005,29.98
129,4.4775,-0.007167000000000001,-0.0071660000000000005,29.98
130,4.5278,-0.007167000000000001,-0.0071660000000000005,29.98
131,4.5777,-0.0071660000000000005,-0.0071660000000000005,29.98
132,4.6283,-0.0071660000000000005,-0.0071660000000000005,29.98
133,4.6787,-0.0071660000000000005,-0.0071660000000000005,29.98
134,4.7289,-0.0071660000000000005,-0.0071660000000000005,29.98
135,4.7788,-0.0071660000000000005,-0.0071660000000000005,29.98
136,4.8293,-0.0071660000000000005,-0.0071660000000000005,29.98
137,4.8794,-0.0071660000000000005,-0.0071660000000000005,29.98
138,4.9300,-0.0071660000000000005,-0.0071660000000000005,29.98
139,4.9803,-0.0071660000000000005,-0.0071660000000000005,29.98
140,5.0303,-0.0071660000000000005,-0.0071660000000000005,29.98
141,5.0808,-0.0071660000000000005,-0.0071660000000000005,29.98
142,5.1308,-0.007167000000000001,-0.0071660000000000005,29.98
143,5.1814,-0.007167000000000001,-0.0071660000000000005,29.98
144,5.2317,-0.0071660000000000005,-0.0071660000000000005,29.98
145,5.2820,-0.0071660000000000005,-0.0071660000000000005,29.98
146,5.3318,-0.0071660000000000005,-0.0071660000000000005,29.98
147,5.3825,-0.0071660000000000005,-0.0071660000000000005,29.98
148,5.4324,-0.007167000000000001,-0.0071660000000000005,29.98
149,5.4831,-0.007167000000000001,-0.0071660000000000005,29.98
150,5.5330,-0.007167000000000001,-0.0071660000000000005,29.98
151,5.5836,-0.0071660000000000005,-0.0071660000000000005,29.98
152,5.6342,-0.0071660000000000005,-0.0071660000000000005,29.98
153,5.6845,-0.007167000000000001,-0.0071660000000000005,29.98
154,5.7345,-0.007167000000000001,-0.0071660000000000005,29.98
155,5.7849,-0.0071660000000000005,-0.0071660000000000005,29.98
156,5.8352,-0.0071660000000000005,-0.0071660000000000005,29.98
157,5.8850,-0.0071660000000000005,-0.0071660000000000005,29.98
158,5.9354,-0.007167000000000001,-0.0071660000000000005,29.98
159,5.9857,-0.007167000000000001,-0.0071660000000000005,29.98
160,6.0359,-0.0071660000000000005,-0.0071660000000000005,29.98
161,6.0862,-0.0071660000000000005,-0.0071660000000000005,29.98
162,6.1365,-0.007167000000000001,-0.0071660000000000005,29.98
163,6.1867,-0.007167000000000001,-0.0071660000000000005,29.98
164,6.2369,-0.007167000000000001,-0.0071660000000000005,29.98
165,6.2871,-0.0071660000000000005,-0.0071660000000000005,29.98
166,6.3375,-0.007167000000000001,-0.0071660000000000005,29.98
167,6.3877,-0.007167000000000001,-0.007167000000000001,29.98
168,6.4379,-0.007167000000000001,-0.007167000000000001,29.98
169,6.4883,-0.007167000000000001,-0.007167000000000001,29.98
170,6.5386,-0.0071660000000000005,-0.007167000000000001,29.98
171,6.5889,-0.0071660000000000005,-0.007167000000000001,29.98
172,6.6392,-0.0071660000000000005,-0.007167000000000001,29.98
173,6.6895,-0.0071660000000000005,-0.007167000000000001,29.98
174,6.7397,-0.0071660000000000005,-0.007167000000000001,29.98
175,6.7900,-0.0071660000000000005,-0.007167000000000001,29.98
176,6.8405,-0.007167000000000001,-0.007167000000000001,29.98
177,6.8906,-0.007167000000000001,-0.007167000000000001,29.98
178,6.9408,-0.007167000000000001,-0.007167000000000001,29.98
179,6.9913,-0.007167000000000001,-0.007167000000000001,29.98
180,7.0417,-0.007167000000000001,-0.007167000000000001,29.98
181,7.0917,-0.007167000000000001,-0.007167000000000001,29.98
182,7.1420,-0.007167000000000001,-0.007167000000000001,29.98
183,7.1923,-0.007167000000000001,-0.007167000000000001,29.98
184,7.2424,-0.007167000000000001,-0.007167000000000001,29.98
