Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0004,-0.007155,-0.007155,29.97
2,0.0006,-0.007155,-0.007155,29.97
3,0.0008,-0.007155,-0.007155,29.97
4,0.0010,-0.007155,-0.007155,29.97
5,0.0012,-0.007155,-0.007155,29.97
6,0.0014,-0.007155,-0.007155,29.97
7,0.0016,-0.007155,-0.007155,29.97
8,0.0019,-0.007155,-0.007155,29.97
9,0.0021,-0.007155,-0.007155,29.97
10,0.0023,-0.007155,-0.007155,29.97
11,0.0025,-0.007155,-0.007155,29.97
12,0.0027,-0.007155,-0.007155,29.97
13,0.0029,-0.007155,-0.007155,29.97
14,0.0031,-0.007155,-0.007155,29.97
15,0.0033,-0.007155,-0.007155,29.97
16,0.0035,-0.007155,-0.007155,29.97
17,0.0037,-0.007155,-0.007155,29.97
18,0.0039,-0.007155,-0.007155,29.97
19,0.0041,-0.007155,-0.007155,29.97
20,0.0042,-0.007155,-0.007155,29.97
21,0.0184,-0.007154,-0.007155,29.97
22,0.0191,-0.007154,-0.007155,29.97
23,0.0196,-0.007154,-0.007155,29.97
24,0.0199,-0.007155,-0.007155,29.97
25,0.0202,-0.007155,-0.007155,29.97
26,0.0204,-0.007155,-0.007155,29.97
27,0.0206,-0.007155,-0.007155,29.97
28,0.0208,-0.007155,-0.007155,29.97
29,0.0210,-0.007155,-0.007155,29.97
30,0.0212,-0.007155,-0.007155,29.97
31,0.0214,-0.007154,-0.007155,29.97
32,0.0216,-0.007155,-0.007155,29.97
33,0.0218,-0.007155,-0.007155,29.97
34,0.0219,-0.007155,-0.007155,29.97
35,0.0221,-0.007154,-0.007155,29.97
36,0.0223,-0.007154,-0.007155,29.97
37,0.0225,-0.007155,-0.007155,29.97
38,0.0227,-0.007155,-0.007155,29.97
39,0.0229,-0.007154,-0.007155,29.97
40,0.0231,-0.007154,-0.007155,29.97
41,0.0395,-0.007154,-0.007154,29.97
42,0.0897,-0.007154,-0.007154,29.97
43,0.1405,-0.007154,-0.007154,29.97
44,0.1905,-0.007154,-0.007154,29.97
45,0.2406,-0.007154,-0.007154,29.97
46,0.2912,-0.007154,-0.007154,29.97
47,0.3416,-0.007154,-0.007154,29.97
48,0.3916,-0.007154,-0.007154,29.97
49,0.4419,-0.007155,-0.007154,29.97
50,0.4922,-0.007155,-0.007154,29.97
51,0.5425,-0.007154,-0.007154,29.97
52,0.5929,-0.007154,-0.007154,29.97
53,0.6434,-0.007154,-0.007154,29.97
54,0.6936,-0.007154,-0.007154,29.97
55,0.7435,-0.007155,-0.007154,29.97
56,0.7938,-0.007155,-0.007154,29.97
57,0.8440,-0.007155,-0.007154,29.97
58,0.8945,-0.007155,-0.007154,29.97
59,0.9446,-0.007155,-0.007155,29.97
60,0.9950,-0.007155,-0.007155,29.97
61,1.0453,-0.007155,-0.007155,29.97
62,1.0956,-0.007155,-0.007155,29.97
63,1.1457,-0.007155,-0.007155,29.97
64,1.1959,-0.007155,-0.007155,29.97
65,1.2464,-0.007155,-0.007155,29.97
66,1.2968,-0.007155,-0.007155,29.97
67,1.3469,-0.007155,-0.007155,29.97
68,1.3972,-0.007155,-0.007155,29.97
69,1.4474,-0.007155,-0.007155,29.97
70,1.4979,-0.007155,-0.007155,29.97
71,1.5480,-0.007154,-0.007155,29.97
72,1.5985,-0.007155,-0.007155,29.97
73,1.6490,-0.007155,-0.007155,29.97
74,1.6988,-0.007155,-0.007155,29.97
75,1.7493,-0.007154,-0.007155,29.97
76,1.7995,-0.007154,-0.007155,29.97
77,1.8499,-0.007155,-0.007155,29.97
78,1.9003,-0.007155,-0.007155,29.97
79,1.9502,-0.007154,-0.007155,29.97
80,2.0008,-0.007154,-0.007155,29.97
81,2.0511,-0.007154,-0.007155,29.97
82,2.1014,-0.007154,-0.007155,29.97
83,2.1513,-0.007155,-0.007155,29.97
84,2.2019,-0.007155,-0.007155,29.97
