ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-21 17:41:40

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000048
num_cycles_analyzed,1
average_area_per_cycle,0.000048
cycle_areas,['0.000048']

DATOS DE HISTÉRESIS
Ciclo,Setpoint (kPA),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007270,-0.007263,-0.000006
1,0.001,-0.007270,-0.007263,-0.000007
1,0.002,-0.007271,-0.007261,-0.000010
1,3.498,0.007911,0.007914,-0.000004
1,3.499,0.007911,0.007917,-0.000006
1,3.5,0.007912,0.007921,-0.000008
1,3.501,0.007911,0.007922,-0.000010
1,3.502,0.007907,0.007922,-0.000015
1,6.499,0.020867,0.020869,-0.000002
1,6.5,0.020868,0.020869,-0.000001
1,6.501,0.020866,0.020869,-0.000003
