ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-21 18:41:21

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000190
num_cycles_analyzed,2
average_area_per_cycle,0.000095
cycle_areas,"['0.000113', '0.000078']"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (kPA),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007255,-0.007231,-0.000024
1,0.001,-0.007254,-0.007230,-0.000024
1,0.997,-0.002922,-0.002900,-0.000022
1,0.998,-0.002920,-0.002898,-0.000022
1,0.999,-0.002914,-0.002903,-0.000011
1,1.0,-0.002911,-0.002889,-0.000022
1,1.001,-0.002908,-0.002880,-0.000028
1,1.002,-0.002912,-0.002890,-0.000022
1,1.003,-0.002917,-0.002905,-0.000012
1,1.998,0.001423,0.001447,-0.000024
1,1.999,0.001426,0.001449,-0.000023
1,2.0,0.001427,0.001451,-0.000023
1,2.001,0.001433,0.001454,-0.000021
1,2.998,0.005762,0.005788,-0.000026
1,2.999,0.005763,0.005785,-0.000022
1,3.0,0.005761,0.005784,-0.000022
1,3.001,0.005769,0.005781,-0.000012
1,3.998,0.010095,0.010121,-0.000026
1,3.999,0.010098,0.010118,-0.000020
1,4.0,0.010100,0.010115,-0.000015
1,4.001,0.010102,0.010115,-0.000013
1,4.998,0.014426,0.014431,-0.000005
1,4.999,0.014426,0.014435,-0.000009
1,5.0,0.014427,0.014434,-0.000007
1,5.001,0.014428,0.014432,-0.000004
1,5.998,0.018741,0.018708,0.000032
1,5.999,0.018742,0.018724,0.000018
1,6.0,0.018742,0.018736,0.000006
1,6.001,0.018742,0.018739,0.000003
1,6.498,0.020892,0.020899,-0.000008
1,6.499,0.020891,0.020896,-0.000004
1,6.5,0.020895,0.020896,-0.000001
1,6.501,0.020896,0.020895,0.000001
2,0.0,-0.007230,-0.007222,-0.000008
2,0.001,-0.007231,-0.007222,-0.000008
2,0.002,-0.007231,-0.007222,-0.000009
2,0.998,-0.002895,-0.002890,-0.000004
2,0.999,-0.002893,-0.002887,-0.000006
2,1.0,-0.002889,-0.002892,0.000003
2,1.997,0.001452,0.001446,0.000006
2,1.998,0.001451,0.001447,0.000003
2,2.0,0.001455,0.001445,0.000010
2,2.997,0.005789,0.005789,-0.000000
2,2.998,0.005789,0.005791,-0.000001
2,2.999,0.005794,0.005798,-0.000003
2,3.0,0.005793,0.005790,0.000003
2,3.997,0.010129,0.010132,-0.000003
2,3.998,0.010129,0.010132,-0.000002
2,3.999,0.010132,0.010132,-0.000000
2,4.0,0.010133,0.010136,-0.000003
2,4.001,0.010127,0.010137,-0.000010
2,4.002,0.010124,0.010144,-0.000020
2,4.997,0.014460,0.014400,0.000060
2,4.998,0.014459,0.014458,0.000002
2,4.999,0.014457,0.014457,-0.000000
2,5.0,0.014459,0.014455,0.000004
2,5.001,0.014460,0.014446,0.000015
2,5.002,0.014457,0.014429,0.000028
2,5.999,0.018772,0.018771,0.000002
2,6.0,0.018772,0.018774,-0.000001
2,6.001,0.018772,0.018777,-0.000005
2,6.002,0.018772,0.018780,-0.000008
2,6.498,0.020919,0.020912,0.000008
2,6.499,0.020924,0.020925,-0.000002
2,6.5,0.020922,0.020920,0.000002
2,6.501,0.020922,0.020916,0.000006
