ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-22 09:43:16

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000174
num_cycles_analyzed,2
average_area_per_cycle,0.000087
cycle_areas,"['0.000124', '0.000051']"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (kPA),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007254,-0.007230,-0.000024
1,1.0,-0.002913,-0.002893,-0.000020
1,2.0,0.001425,0.001450,-0.000025
1,3.0,0.005753,0.005784,-0.000031
1,4.0,0.010100,0.010116,-0.000016
1,5.0,0.014427,0.014434,-0.000007
1,6.0,0.018742,0.018726,0.000016
1,6.5,0.020895,0.020896,-0.000001
2,0.0,-0.007231,-0.007222,-0.000008
2,1.0,-0.002890,-0.002894,0.000003
2,2.0,0.001453,0.001445,0.000008
2,3.0,0.005792,0.005789,0.000003
2,4.0,0.010130,0.010138,-0.000008
2,5.0,0.014459,0.014440,0.000019
2,6.0,0.018772,0.018774,-0.000002
2,6.5,0.020922,0.020912,0.000011
Promedio General,0.0,-0.007243,-0.007226,-0.000016
Promedio General,1.0,-0.002902,-0.002894,-0.000008
Promedio General,2.0,0.001439,0.001448,-0.000009
Promedio General,3.0,0.005773,0.005787,-0.000014
Promedio General,4.0,0.010115,0.010127,-0.000012
Promedio General,5.0,0.014443,0.014437,0.000006
Promedio General,6.0,0.018757,0.018750,0.000007
Promedio General,6.5,0.020908,0.020904,0.000005
