ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-22 11:28:17

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000169
num_cycles_analyzed,2
average_area_per_cycle,0.000084
cycle_areas,"['0.000120', '0.000048']"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (kPA),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007251,-0.007227,-0.000023
1,1.0,-0.002914,-0.002890,-0.000024
1,2.0,0.001422,0.001447,-0.000025
1,3.0,0.005750,0.005780,-0.000030
1,4.0,0.010093,0.010109,-0.000017
1,5.0,0.014417,0.014426,-0.000009
1,6.0,0.018729,0.018725,0.000005
1,6.5,0.020880,0.020882,-0.000002
2,0.0,-0.007226,-0.007219,-0.000008
2,1.0,-0.002889,-0.002892,0.000004
2,2.0,0.001453,0.001444,0.000009
2,3.0,0.005789,0.005785,0.000005
2,4.0,0.010124,0.010131,-0.000007
2,5.0,0.014450,0.014433,0.000017
2,6.0,0.018759,0.018761,-0.000002
2,6.5,0.020908,0.020900,0.000008
Promedio General,0.0,-0.007239,-0.007223,-0.000015
Promedio General,1.0,-0.002901,-0.002891,-0.000010
Promedio General,2.0,0.001438,0.001446,-0.000008
Promedio General,3.0,0.005770,0.005782,-0.000013
Promedio General,4.0,0.010108,0.010120,-0.000012
Promedio General,5.0,0.014433,0.014429,0.000004
Promedio General,6.0,0.018744,0.018743,0.000002
Promedio General,6.5,0.020894,0.020891,0.000003
