ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-22 11:24:45

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.000139
num_cycles_analyzed,2
average_area_per_cycle,0.000069
cycle_areas,"['0.000052', '0.000087']"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (kPA),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007274,-0.007269,-0.000005
1,1.0,-0.002967,-0.002981,0.000014
1,2.0,0.001336,0.001322,0.000014
1,3.0,0.005632,0.005617,0.000015
1,4.0,0.009935,0.009937,-0.000002
1,5.0,0.014226,0.014226,-0.000001
1,6.0,0.018501,0.018503,-0.000002
1,6.5,0.020635,0.020629,0.000006
2,0.0,-0.007271,-0.007266,-0.000005
2,1.0,-0.002962,-0.002960,-0.000002
2,2.0,0.001336,0.001314,0.000021
2,3.0,0.005639,0.005613,0.000026
2,4.0,0.009939,0.009936,0.000003
2,5.0,0.014231,0.014201,0.000030
2,6.0,0.018502,0.018505,-0.000003
2,6.5,0.020635,0.020635,-0.000001
Promedio General,0.0,-0.007272,-0.007267,-0.000005
Promedio General,1.0,-0.002965,-0.002970,0.000006
Promedio General,2.0,0.001336,0.001318,0.000018
Promedio General,3.0,0.005635,0.005615,0.000020
Promedio General,4.0,0.009937,0.009937,0.000000
Promedio General,5.0,0.014228,0.014214,0.000014
Promedio General,6.0,0.018501,0.018504,-0.000003
Promedio General,6.5,0.020635,0.020632,0.000002
