Timestamp,Sample,Ciclo,Fase,TIVA Voltage (V),TIVA Voltage w/FPB(V),KEITHLEY Voltage (V),TIVA Temp (C),Alicat Presion (psi),Alicat Setpoint (psi),Setpoint Enviado (psi)
1760657151.3314064,1,1,subida,-0.007346,-0.007346,-0.00734324473,20.01,0.001,0.0,0.0
1760657151.448453,2,1,subida,-0.007347,-0.007346,-0.00734370062,20.01,0.001,0.0,0.0
1760657151.476361,3,1,subida,-0.007347,-0.007346,-0.00734308315,20.01,0.001,0.0,0.0
1760657151.5165086,4,1,subida,-0.007347,-0.007346,-0.00734324846,20.01,0.001,0.0,0.0
1760657151.5400913,5,1,subida,-0.007347,-0.007346,-0.00734380073,20.01,0.001,0.0,0.0
1760657151.5707164,6,1,subida,-0.007347,-0.007346,-0.00734345056,20.01,0.001,0.0,0.0
1760657151.6009426,7,1,subida,-0.007347,-0.007346,-0.00734334345,20.01,0.001,0.0,0.0
1760657151.6290402,8,1,subida,-0.007347,-0.007346,-0.0073441416,20.01,0.0,0.0,0.0
1760657151.7021055,9,1,subida,-0.007346,-0.007346,-0.00734422821,20.01,0.001,0.0,0.0
1760657151.7442977,10,1,subida,-0.007347,-0.007346,-0.00734427664,20.01,0.001,0.0,0.0
1760657151.786844,11,1,subida,-0.007346,-0.007346,-0.00734442938,20.01,0.0,0.0,0.0
1760657151.810337,12,1,subida,-0.007346,-0.007346,-0.0073451437,20.01,0.0,0.0,0.0
1760657151.8448396,13,1,subida,-0.007346,-0.007346,-0.00734526989,20.01,0.001,0.0,0.0
1760657151.8772645,14,1,subida,-0.007346,-0.007346,-0.00734435813,20.01,0.001,0.0,0.0
1760657151.9086514,15,1,subida,-0.007347,-0.007346,-0.00734253367,20.01,0.0,0.0,0.0
1760657151.947142,16,1,subida,-0.007348,-0.007347,-0.0073420573,20.01,0.001,0.0,0.0
1760657151.980558,17,1,subida,-0.0073490000000000005,-0.007347,-0.00734295556,20.01,0.001,0.0,0.0
1760657152.0080092,18,1,subida,-0.00735,-0.007347,-0.00734403776,20.01,0.001,0.0,0.0
1760657152.0385513,19,1,subida,-0.00735,-0.007347,-0.00734374858,20.01,0.001,0.0,0.0
1760657152.0699112,20,1,subida,-0.00735,-0.007348,-0.00734254159,20.01,0.0,0.0,0.0
1760657152.1001618,21,1,subida,-0.00735,-0.007348,-0.00734381563,20.01,0.001,0.0,0.0
1760657152.138592,22,1,subida,-0.00735,-0.007348,-0.00734335044,20.01,0.001,0.0,0.0
1760657152.1691492,23,1,subida,-0.0073490000000000005,-0.007348,-0.00734348827,20.01,0.0,0.0,0.0
1760657152.1985416,24,1,subida,-0.007348,-0.007348,-0.00734336907,20.01,0.001,0.0,0.0
1760657152.237552,25,1,subida,-0.007347,-0.007348,-0.00734350085,20.0,0.001,0.0,0.0
1760657152.2684402,26,1,subida,-0.007348,-0.007348,-0.00734287593,20.0,0.0,0.0,0.0
1760657152.2946153,27,1,subida,-0.007348,-0.007348,-0.00734215835,20.01,0.001,0.0,0.0
1760657152.3259485,28,1,subida,-0.007347,-0.007348,-0.00734239118,20.01,0.0,0.0,0.0
1760657152.35733,29,1,subida,-0.007346,-0.007348,-0.00734216393,20.01,0.001,0.0,0.0
1760657152.3884363,30,1,subida,-0.007345,-0.007347,-0.00734282284,20.01,0.0,0.0,0.0
1760657152.4192867,31,1,subida,-0.007346,-0.007347,-0.00734275253,20.01,0.001,0.0,0.0
1760657152.4498472,32,1,subida,-0.007347,-0.007347,-0.00734182307,20.01,0.001,0.0,0.0
1760657152.4780645,33,1,subida,-0.007347,-0.007347,-0.0073422417,20.01,0.001,0.0,0.0
