Timestamp,Sample,Ciclo,Fase,TIVA Voltage (V),TIVA Voltage w/FPB(V),KEITHLEY Voltage (V),TIVA Temp (C),Alicat Presion (kPa),Alicat Setpoint (kPa),Setpoint Enviado (kPa)
1760715131.0844152,1,1,subida,-0.007316,-0.007313999999999999,-0.00731178466,21.71,-0.0,0.0,0.0
1760715131.2010133,2,1,subida,-0.007316,-0.0073149999999999995,-0.00731109362,21.71,0.0,0.0,0.0
1760715131.229091,3,1,subida,-0.007316,-0.0073149999999999995,-0.00731228385,21.71,0.0,0.0,0.0
1760715131.2602875,4,1,subida,-0.007316,-0.0073149999999999995,-0.00731136463,21.71,0.001,0.0,0.0
1760715131.2912238,5,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731061631,21.71,-0.0,0.0,0.0
1760715131.312546,6,1,subida,-0.007316,-0.0073149999999999995,-0.00731151876,21.71,-0.0,0.0,0.0
1760715131.3337543,7,1,subida,-0.007317,-0.0073149999999999995,-0.00731079513,21.71,0.0,0.0,0.0
1760715131.3639653,8,1,subida,-0.007317,-0.0073149999999999995,-0.00731073739,21.71,0.001,0.0,0.0
1760715131.392971,9,1,subida,-0.007317,-0.007316,-0.0073134345,21.71,0.0,0.0,0.0
1760715131.4593494,10,1,subida,-0.007316,-0.007316,-0.00731285708,21.71,0.0,0.0,0.0
1760715131.500826,11,1,subida,-0.0073149999999999995,-0.007316,-0.00731160445,21.71,0.0,0.0,0.0
1760715131.543488,12,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731142936,21.71,0.001,0.0,0.0
1760715131.5753403,13,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731135997,21.71,0.0,0.0,0.0
1760715131.6028914,14,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731165148,21.71,0.001,0.0,0.0
1760715131.639176,15,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731176976,21.71,0.0,0.0,0.0
1760715131.6726842,16,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731188664,21.71,0.0,0.0,0.0
1760715131.703969,17,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731157604,21.71,0.001,0.0,0.0
1760715131.7403433,18,1,subida,-0.007317,-0.0073149999999999995,-0.00731140607,21.71,0.0,0.0,0.0
1760715131.7761085,19,1,subida,-0.007319,-0.007316,-0.00731231784,21.71,-0.0,0.0,0.0
1760715131.8067772,20,1,subida,-0.007318,-0.007316,-0.00731240585,21.71,0.0,0.0,0.0
1760715131.8335488,21,1,subida,-0.007317,-0.007316,-0.00731089059,21.71,0.0,0.0,0.0
1760715131.8610578,22,1,subida,-0.007316,-0.007316,-0.00731080817,21.72,0.0,0.0,0.0
1760715131.8896394,23,1,subida,-0.007317,-0.007316,-0.00731093855,21.72,0.001,0.0,0.0
1760715131.9216106,24,1,subida,-0.007318,-0.007316,-0.00731104752,21.71,0.001,0.0,0.0
1760715131.943629,25,1,subida,-0.007319,-0.007316,-0.00731144426,21.71,0.001,0.0,0.0
1760715131.9754076,26,1,subida,-0.007318,-0.007317,-0.0073113786,21.71,-0.0,0.0,0.0
1760715132.00936,27,1,subida,-0.007318,-0.007317,-0.00731094088,21.71,0.001,0.0,0.0
1760715132.0327349,28,1,subida,-0.007317,-0.007317,-0.00731205986,21.71,0.0,0.0,0.0
1760715132.0553367,29,1,subida,-0.007317,-0.007317,-0.00731093389,21.71,0.0,0.0,0.0
1760715132.0768404,30,1,subida,-0.007317,-0.007317,-0.00731017161,21.71,0.0,0.0,0.0
1760715132.1000154,31,1,subida,-0.007317,-0.007317,-0.00731072714,21.71,0.0,0.0,0.0
1760715132.1238556,32,1,subida,-0.007317,-0.007317,-0.00731106474,21.71,0.001,0.0,0.0
1760715132.1545079,33,1,subida,-0.007316,-0.007317,-0.0073101446,21.71,0.0,0.0,0.0
1760715132.1787257,34,1,subida,-0.007316,-0.007317,-0.00730949547,21.71,0.0,0.0,0.0
1760715132.2054708,35,1,subida,-0.007317,-0.007317,-0.00730928638,21.71,0.001,0.0,0.0
1760715132.2280476,36,1,subida,-0.007316,-0.007317,-0.00730960071,21.71,0.001,0.0,0.0
1760715132.2528613,37,1,subida,-0.007316,-0.007317,-0.00730814691,21.71,0.0,0.0,0.0
1760715132.2866578,38,1,subida,-0.007318,-0.007317,-0.00730767287,21.71,0.001,0.0,0.0
1760715132.3203392,39,1,subida,-0.007319,-0.007317,-0.00730783445,21.71,-0.0,0.0,0.0
1760715132.3533301,40,1,subida,-0.007319,-0.007317,-0.0073076561,21.71,-0.0,0.0,0.0
1760715132.3793664,41,1,subida,-0.007318,-0.007317,-0.00730900838,21.71,0.0,0.0,0.0
1760715132.4033973,42,1,subida,-0.007318,-0.007317,-0.00730965053,21.71,0.001,0.0,0.0
1760715132.4363914,43,1,subida,-0.007319,-0.007317,-0.0073092794,21.71,0.0,0.0,0.0
1760715132.4584215,44,1,subida,-0.007318,-0.007317,-0.00731014879,21.71,0.0,0.0,0.0
1760715132.483118,45,1,subida,-0.007317,-0.007317,-0.00730925751,21.71,0.001,0.0,0.0
1760715132.5122046,46,1,subida,-0.007317,-0.007317,-0.00730994297,21.71,0.0,0.0,0.0
1760715132.537749,47,1,subida,-0.007316,-0.007317,-0.00731041235,21.71,0.0,0.0,0.0
1760715132.5749304,48,1,subida,-0.007316,-0.007317,-0.0073100971,21.71,-0.0,0.0,0.0
1760715132.6033716,49,1,subida,-0.007316,-0.007317,-0.00730973063,21.71,0.001,0.0,0.0
1760715132.6363537,50,1,subida,-0.007316,-0.007317,-0.00730948755,21.71,-0.0,0.0,0.0
1760715132.6690195,51,1,subida,-0.007317,-0.007317,-0.00730959838,21.71,0.001,0.0,0.0
1760715132.6907248,52,1,subida,-0.007317,-0.007317,-0.00731095112,21.71,0.001,0.0,0.0
1760715132.7196279,53,1,subida,-0.007317,-0.007317,-0.00731072016,21.71,0.001,0.0,0.0
1760715132.7442489,54,1,subida,-0.007316,-0.007317,-0.00731027312,21.71,0.001,0.0,0.0
1760715132.7805912,55,1,subida,-0.007316,-0.007317,-0.00731070339,21.71,0.001,0.0,0.0
1760715132.8116057,56,1,subida,-0.0073149999999999995,-0.007317,-0.00731168547,21.71,0.0,0.0,0.0
1760715132.8359108,57,1,subida,-0.0073149999999999995,-0.007316,-0.0073127998,21.71,0.0,0.0,0.0
1760715132.8668861,58,1,subida,-0.0073149999999999995,-0.007316,-0.00731283845,21.71,0.001,0.0,0.0
1760715132.8981516,59,1,subida,-0.007313999999999999,-0.007316,-0.00731218,21.71,0.0,0.0,0.0
1760715132.936089,60,1,subida,-0.007313999999999999,-0.007316,-0.00731224985,21.71,-0.0,0.0,0.0
1760715132.9575894,61,1,subida,-0.007313999999999999,-0.007316,-0.00731093436,21.71,0.0,0.0,0.0
1760715132.978648,62,1,subida,-0.007313999999999999,-0.007316,-0.00731156067,21.71,0.0,0.0,0.0
1760715133.0097432,63,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731079373,21.71,0.001,0.0,0.0
1760715133.0411413,64,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00731030991,21.71,0.0,0.0,0.0
1760715133.0626333,65,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.0073103737,21.71,0.0,0.0,0.0
1760715133.093074,66,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730983959,21.71,0.0,0.0,0.0
1760715133.1234734,67,1,subida,-0.007316,-0.0073149999999999995,-0.00731033971,21.71,0.0,0.0,0.0
1760715133.144965,68,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731104006,21.71,0.001,0.0,0.0
1760715133.175838,69,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730986334,21.71,0.0,0.0,0.0
1760715133.207136,70,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731056788,21.71,0.001,0.0,0.0
1760715133.2286248,71,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.0073102978,21.71,0.001,0.0,0.0
1760715133.2590516,72,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.0073097269,21.71,0.0,0.0,0.0
1760715133.2905872,73,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730906752,21.71,0.0,0.0,0.0
1760715133.3118231,74,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730882165,21.71,0.0,0.0,0.0
1760715133.3329268,75,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730848032,21.71,0.001,0.0,0.0
1760715133.363953,76,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.0073092007,21.71,0.0,0.0,0.0
1760715133.3851972,77,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730920024,21.71,0.001,0.0,0.0
1760715133.4258382,78,1,subida,-0.007316,-0.0073149999999999995,-0.00730900233,21.71,0.001,0.0,0.0
1760715133.457134,79,1,subida,-0.007316,-0.0073149999999999995,-0.00730831781,21.71,0.0,0.0,0.0
1760715133.479467,80,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730748288,21.71,0.0,0.0,0.0
1760715133.5105321,81,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.0073070703,21.71,0.0,0.0,0.0
1760715133.5424166,82,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.0073086908,21.71,0.0,0.0,0.0
1760715133.5844388,83,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730923982,21.71,0.0,0.0,0.0
1760715133.6269042,84,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730996811,21.71,0.0,0.0,0.0
1760715133.6570246,85,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731010455,21.71,-0.0,0.0,0.0
1760715133.6781633,86,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731030572,21.71,-0.0,0.0,0.0
1760715133.7090397,87,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00731043331,21.71,0.001,0.0,0.0
1760715133.7305217,88,1,subida,-0.0073149999999999995,-0.0073149999999999995,-0.00730954576,21.71,0.001,0.0,0.0
1760715133.7517953,89,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.00730978371,21.71,0.0,0.0,0.0
1760715133.782418,90,1,subida,-0.007313999999999999,-0.0073149999999999995,-0.0073095113,21.71,-0.0,0.0,0.0
1760715133.8037028,91,1,subida,-0.007313,-0.0073149999999999995,-0.00730904424,21.71,0.0,0.0,0.0
1760715133.8340218,92,1,subida,-0.007313,-0.0073149999999999995,-0.00730993598,21.72,0.001,0.0,0.0
1760715133.8649168,93,1,subida,-0.007313,-0.007313999999999999,-0.0073079532,21.72,0.0,0.0,0.0
1760715133.896217,94,1,subida,-0.007313,-0.007313999999999999,-0.00730775715,21.71,0.0,0.0,0.0
1760715133.927514,95,1,subida,-0.007313,-0.007313999999999999,-0.00730916578,21.71,0.001,0.0,0.0
1760715133.9587545,96,1,subida,-0.007313,-0.007313999999999999,-0.00730923004,21.71,-0.0,0.0,0.0
1760715133.9900177,97,1,subida,-0.007313999999999999,-0.007313999999999999,-0.00730824284,21.71,0.001,0.0,0.0
1760715134.0270195,98,1,subida,-0.007313,-0.007313999999999999,-0.00730929058,21.71,0.001,0.0,0.0
1760715134.0566213,99,1,subida,-0.007312,-0.007313999999999999,-0.00730833876,21.71,0.0,0.0,0.0
1760715134.0888562,100,1,subida,-0.007311,-0.007313999999999999,-0.00730801559,21.71,0.001,0.0,0.0
1760715134.1165626,101,1,subida,-0.007312,-0.007313,-0.00730843842,21.71,0.0,0.0,0.0
1760715134.1377518,102,1,subida,-0.007312,-0.007313,-0.00730808358,21.71,-0.0,0.0,0.0
1760715134.1589818,103,1,subida,-0.007312,-0.007313,-0.00730754667,21.71,0.0,0.0,0.0
1760715134.1895726,104,1,subida,-0.007313,-0.007313,-0.00730814272,21.71,0.0,0.0,0.0
1760715134.2216175,105,1,subida,-0.007313,-0.007313,-0.00730840675,21.71,0.0,0.0,0.0
1760715134.2520523,106,1,subida,-0.007313999999999999,-0.007313,-0.00730754667,21.71,0.0,0.0,0.0
1760715134.27326,107,1,subida,-0.007313999999999999,-0.007313,-0.00730847055,21.71,0.001,0.0,0.0
1760715134.3039446,108,1,subida,-0.0073149999999999995,-0.007313,-0.00730854319,21.71,-0.0,0.0,0.0
1760715134.3327947,109,1,subida,-0.0073149999999999995,-0.007313,-0.00730882398,21.71,0.0,0.0,0.0
1760715134.3670833,110,1,subida,-0.007313999999999999,-0.007313999999999999,-0.00730902003,21.71,0.0,0.0,0.0
1760715134.3883345,111,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730873644,21.71,0.0,0.0,0.0
1760715134.4194105,112,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730900745,21.71,0.0,0.0,0.0
1760715134.440745,113,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730916298,21.71,0.0,0.0,0.0
1760715134.4735222,114,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730837881,21.71,0.0,0.0,0.0
1760715134.5051124,115,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730888405,21.71,0.001,0.0,0.0
1760715134.5294702,116,1,subida,-0.007313999999999999,-0.007313999999999999,-0.00730922818,21.71,0.001,0.0,0.0
1760715134.550712,117,1,subida,-0.007313999999999999,-0.007313999999999999,-0.00730956811,21.71,0.001,0.0,0.0
1760715134.5822613,118,1,subida,-0.007313999999999999,-0.007313999999999999,-0.00730948662,21.72,0.0,0.0,0.0
1760715134.603276,119,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730997789,21.72,0.0,0.0,0.0
1760715134.634291,120,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730920676,21.72,0.001,0.0,0.0
1760715134.6553352,121,1,subida,-0.0073149999999999995,-0.007313999999999999,-0.00730946427,21.72,0.001,0.0,0.0
