ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-17 09:30:47

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.004807789588826605
num_cycles_analyzed,3
average_area_per_cycle,0.0016025965296088684
cycle_areas,"[0.0015621505904474026, 0.001615436335976627, 0.0016302026624025754]"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (psi),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007300259231348908,-0.00717686144578313,-0.00012339778556577814
1,1.0,-0.0031198587285570117,-0.002864565961732125,-0.00025529276682488685
1,2.0,0.001197085427135678,0.001455134944612277,-0.0002580495174765989
1,3.0,0.0055045508559919305,0.005770519597989936,-0.0002659687419980057
1,4.0,0.009820806841046277,0.01008789849246231,-0.0002670916514160328
1,5.0,0.014122479396984921,0.014396289738430582,-0.000273810341445661
1,6.0,0.018421286720321936,0.018626217085427138,-0.00020493036510520202
1,6.5,0.020632736683417082,0.02073890030211479,-0.00010616361869770705
2,0.0,-0.0073125393145161205,-0.007181602409638529,-0.00013093690487759116
2,1.0,-0.0031351981891348077,-0.0028663185929648236,-0.0002688795961699841
2,2.0,0.0011764587525150806,0.0014517505030180978,-0.00027529175050301715
2,3.0,0.005496749748743702,0.005767884305834999,-0.00027113455709129684
2,4.0,0.009813688442211055,0.010083752515090543,-0.0002700640728794876
2,5.0,0.014116109657947684,0.014395291164658632,-0.0002791815067109474
2,6.0,0.018414916582914574,0.018625939637826962,-0.0002110230549123883
2,6.5,0.02063245381526104,0.02074105025125627,-0.0001085964359952285
3,0.0,-0.007314421953675654,-0.007177725903614451,-0.00013669605006120297
3,1.0,-0.0031487035175879366,-0.0028634582914572864,-0.00028524522613065017
3,2.0,0.0011773316582914433,0.0014553296482411925,-0.0002779979899497492
3,3.0,0.005495527638190934,0.005769672361809036,-0.0002741447236181017
3,4.0,0.009814651256281408,0.010085501006036213,-0.0002708497497548052
3,5.0,0.014124546277665994,0.01439439095477387,-0.00026984467710787496
3,6.0,0.018421620100502512,0.018629265326633164,-0.00020764522613065176
3,6.5,0.020631484422110536,0.02074363782696175,-0.0001121534048512153
