ANÁLISIS,HISTERESIS
FECHA EXPORTACIÓN,2025-10-17 08:44:01

RESUMEN GLOBAL
Métrica,Valor
total_histeresis_area,0.0049848524793953825
num_cycles_analyzed,3
average_area_per_cycle,0.001661617493131794
cycle_areas,"[0.0016648681999480947, 0.0016720183601600014, 0.0016479659192872869]"

DATOS DE HISTÉRESIS
Ciclo,Setpoint (psi),Subida (V),Bajada (V),Error Histéresis (V)
1,0.0,-0.007352811605124308,-0.007216804216867466,-0.0001360073882568421
1,1.0,-0.0031689517587939688,-0.002882350453172205,-0.0002866013056217636
1,2.0,0.0011930663983903353,0.0014685115577889353,-0.00027544515939860004
1,3.0,0.0055313608040200675,0.005814524144869199,-0.0002831633408491314
1,4.0,0.009878793762575451,0.01016017989949748,-0.00028138613692202906
1,5.0,0.014217421529175048,0.014499537688442204,-0.0002821161592671557
1,6.0,0.018547888442211054,0.018761153768844217,-0.00021326532663316217
1,6.5,0.020774969849246226,0.020887783484390715,-0.00011281363514448889
2,0.0,-0.007351023138832996,-0.007213027108433734,-0.00013799603039926257
2,1.0,-0.0031614311557788917,-0.0028721498993963777,-0.0002892812563825139
2,2.0,0.0011873125628140573,0.0014739738693467094,-0.00028666130653265203
2,3.0,0.005543572864321601,0.00581866498993963,-0.00027509212561802835
2,4.0,0.009882351758793968,0.01016598894472361,-0.00028363718592964125
2,5.0,0.01422598690835851,0.014502052261306528,-0.0002760653529480187
2,6.0,0.018545206030150755,0.018763980904522613,-0.0002187748743718576
2,6.5,0.02078031388329979,0.02089312173038228,-0.00011280784708249045
3,0.0,-0.007347076458752517,-0.007208154618473895,-0.00013892184027862204
3,1.0,-0.0031497829145728613,-0.0028770825780463235,-0.0002727003365265378
3,2.0,0.0011924577464788404,0.0014749447236180578,-0.0002824869771392174
3,3.0,0.005549526686807648,0.005821331991951702,-0.0002718053051440541
3,4.0,0.009892550301810863,0.010169561368209245,-0.0002770110663983822
3,5.0,0.014227815075376885,0.014506753521126757,-0.0002789384457498722
3,6.0,0.01854779396984925,0.01876973689516129,-0.00022194292531204154
3,6.5,0.02078208032128511,0.020898503018108635,-0.00011642269682352394
