Timestamp,Sample_Number,Raw_Data,Estimated_Frequency_Hz,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 10:55:30.462528,1,b'+\x00\x04UA+\x00\x04UB \x17',0.00,0.000455,0.000455,20.17
2025-10-21 10:55:30.463058,2,b'+\x00\x04UA+\x00\x04UB \x17',1888.48,0.000455,0.000455,20.17
2025-10-21 10:55:30.463329,3,b'+\x00\x04UA+\x00\x04UB \x17',2498.10,0.000455,0.000455,20.17
2025-10-21 10:55:30.463652,4,b'+\x00\x04VA+\x00\x04UB \x17',2669.26,0.000456,0.000455,20.17
2025-10-21 10:55:30.463931,5,b'+\x00\x04UA+\x00\x04UB \x17',2851.33,0.000455,0.000455,20.17
2025-10-21 10:55:30.464190,6,b'+\x00\x04UA+\x00\x04UB \x17',3008.39,0.000455,0.000455,20.17
2025-10-21 10:55:30.464443,7,b'+\x00\x04UA+\x00\x04UB \x17',3132.42,0.000455,0.000455,20.17
2025-10-21 10:55:30.464694,8,b'+\x00\x04UA+\x00\x04UB \x17',3231.71,0.000455,0.000455,20.17
2025-10-21 10:55:30.464948,9,b'+\x00\x04UA+\x00\x04UB \x17',3305.20,0.000455,0.000455,20.17
2025-10-21 10:55:30.465216,10,b'+\x00\x04UA+\x00\x04UB \x17',3348.60,0.000455,0.000455,20.17
2025-10-21 10:55:30.465602,11,b'+\x00\x04UA+\x00\x04UB \x17',3252.66,0.000455,0.000455,20.17
2025-10-21 10:55:30.465916,12,b'+\x00\x04UA+\x00\x04UB \x17',3247.05,0.000455,0.000455,20.17
2025-10-21 10:55:30.466181,13,b'+\x00\x04UA+\x00\x04UB \x17',3284.71,0.000455,0.000455,20.17
2025-10-21 10:55:30.466641,14,b'+\x00\x04UA+\x00\x04UB \x17',3160.74,0.000455,0.000455,20.17
2025-10-21 10:55:30.466956,15,b'+\x00\x04UA+\x00\x04UB \x16',3161.42,0.000455,0.000455,20.16
2025-10-21 10:55:30.467221,16,b'+\x00\x04UA+\x00\x04UB \x16',3196.39,0.000455,0.000455,20.16
2025-10-21 10:55:30.467681,17,b'+\x00\x04UA+\x00\x04UB \x17',3105.17,0.000455,0.000455,20.17
2025-10-21 10:55:30.471711,18,b'+\x00\x04UA+\x00\x04UB \x17',1851.16,0.000455,0.000455,20.17
2025-10-21 10:55:30.521958,19,b'+\x00\x04UA+\x00\x04UB \x16',302.88,0.000455,0.000455,20.16
2025-10-21 10:55:30.572387,20,b'+\x00\x04UA+\x00\x04UB \x16',172.95,0.000455,0.000455,20.16
2025-10-21 10:55:30.622860,21,b'+\x00\x04UA+\x00\x04UB \x17',124.74,0.000455,0.000455,20.17
2025-10-21 10:55:30.672869,22,b'+\x00\x04UA+\x00\x04UB \x17',99.84,0.000455,0.000455,20.17
2025-10-21 10:55:30.723214,23,b'+\x00\x04UA+\x00\x04UB \x17',84.39,0.000455,0.000455,20.17
2025-10-21 10:55:30.773491,24,b'+\x00\x04UA+\x00\x04UB \x17',73.96,0.000455,0.000455,20.17
2025-10-21 10:55:30.823598,25,b'+\x00\x04UA+\x00\x04UB \x16',66.47,0.000455,0.000455,20.16
2025-10-21 10:55:30.873895,26,b'+\x00\x04UA+\x00\x04UB \x16',60.77,0.000455,0.000455,20.16
2025-10-21 10:55:30.924202,27,b'+\x00\x04UA+\x00\x04UB \x17',56.32,0.000455,0.000455,20.17
2025-10-21 10:55:30.974475,28,b'+\x00\x04UA+\x00\x04UB \x17',52.74,0.000455,0.000455,20.17
2025-10-21 10:55:31.024718,29,b'+\x00\x04UA+\x00\x04UB \x17',49.81,0.000455,0.000455,20.17
2025-10-21 10:55:31.074989,30,b'+\x00\x04UA+\x00\x04UB \x17',47.35,0.000455,0.000455,20.17
2025-10-21 10:55:31.125438,31,b'+\x00\x04UA+\x00\x04UB \x16',45.26,0.000455,0.000455,20.16
2025-10-21 10:55:31.175529,32,b'+\x00\x04UA+\x00\x04UB \x16',43.48,0.000455,0.000455,20.16
2025-10-21 10:55:31.225837,33,b'+\x00\x04UA+\x00\x04UB \x17',41.92,0.000455,0.000455,20.17
2025-10-21 10:55:31.276151,34,b'+\x00\x04UA+\x00\x04UB \x17',40.56,0.000455,0.000455,20.17
2025-10-21 10:55:31.326455,35,b'+\x00\x04UA+\x00\x04UB \x16',39.36,0.000455,0.000455,20.16
2025-10-21 10:55:31.376853,36,b'+\x00\x04UA+\x00\x04UB \x16',38.28,0.000455,0.000455,20.16
2025-10-21 10:55:31.426974,37,b'+\x00\x04UA+\x00\x04UB \x17',37.33,0.000455,0.000455,20.17
2025-10-21 10:55:31.477250,38,b'+\x00\x04UA+\x00\x04UB \x17',36.46,0.000455,0.000455,20.17
2025-10-21 10:55:31.527506,39,b'+\x00\x04UA+\x00\x04UB \x16',35.68,0.000455,0.000455,20.16
2025-10-21 10:55:31.577816,40,b'+\x00\x04UA+\x00\x04UB \x16',34.97,0.000455,0.000455,20.16
2025-10-21 10:55:31.628509,41,b'+\x00\x04UA+\x00\x04UB \x17',34.31,0.000455,0.000455,20.17
2025-10-21 10:55:31.678437,42,b'+\x00\x04UA+\x00\x04UB \x17',33.72,0.000455,0.000455,20.17
2025-10-21 10:55:31.728708,43,b'+\x00\x04UA+\x00\x04UB \x17',33.17,0.000455,0.000455,20.17
2025-10-21 10:55:31.779022,44,b'+\x00\x04UA+\x00\x04UB \x17',32.66,0.000455,0.000455,20.17
2025-10-21 10:55:31.829288,45,b'+\x00\x04UA+\x00\x04UB \x17',32.19,0.000455,0.000455,20.17
2025-10-21 10:55:31.879425,46,b'+\x00\x04UA+\x00\x04UB \x17',31.76,0.000455,0.000455,20.17
2025-10-21 10:55:31.929773,47,b'+\x00\x04UA+\x00\x04UB \x17',31.35,0.000455,0.000455,20.17
2025-10-21 10:55:31.980092,48,b'+\x00\x04UA+\x00\x04UB \x17',30.97,0.000455,0.000455,20.17
2025-10-21 10:55:32.030467,49,b'+\x00\x04UA+\x00\x04UB \x17',30.61,0.000455,0.000455,20.17
2025-10-21 10:55:32.080663,50,b'+\x00\x04UA+\x00\x04UB \x17',30.28,0.000455,0.000455,20.17
2025-10-21 10:55:32.131614,51,b'+\x00\x04UA+\x00\x04UB \x16',29.96,0.000455,0.000455,20.16
2025-10-21 10:55:32.181149,52,b'+\x00\x04UA+\x00\x04UB \x16',29.67,0.000455,0.000455,20.16
2025-10-21 10:55:32.231399,53,b'+\x00\x04UA+\x00\x04UB \x16',29.40,0.000455,0.000455,20.16
2025-10-21 10:55:32.281684,54,b'+\x00\x04UA+\x00\x04UB \x16',29.13,0.000455,0.000455,20.16
2025-10-21 10:55:32.332012,55,b'+\x00\x04UA+\x00\x04UB \x17',28.88,0.000455,0.000455,20.17
2025-10-21 10:55:32.382286,56,b'+\x00\x04UA+\x00\x04UB \x17',28.65,0.000455,0.000455,20.17
