Timestamp,Sample_Number,TIVA_Voltage_Raw_V,TIVA_Voltage_Filtered_V,TIVA_Temperature_C
2025-10-21 00:00:00.000000,1,0.697365,0.617370,53.61
2025-10-21 00:00:00.020000,2,0.707265,0.757362,72.32
2025-10-21 00:00:00.040000,3,0.617765,0.746132,73.74
2025-10-21 00:00:00.060000,4,0.736174,0.654672,71.75
2025-10-21 00:00:00.080000,5,0.746379,0.801310,30.32
2025-10-21 00:00:00.100000,6,0.333130,0.312031,40.32
2025-10-21 00:00:00.120000,7,0.403337,0.343430,37.32
2025-10-21 00:00:00.140000,8,0.323100,0.413100,58.42
2025-10-21 00:00:00.160000,9,0.303430,0.103230,35.33
2025-10-21 00:00:00.180000,10,0.303332,0.313040,38.40
2025-10-21 00:00:00.200000,11,0.373436,0.363033,32.32
2025-10-21 00:00:00.220000,12,0.000458,0.000458,32.31
2025-10-21 00:00:00.240000,13,0.303334,0.131032,32.35
2025-10-21 00:00:00.260000,14,-0.313033,0.203130,32.38
2025-10-21 00:00:00.280000,15,0.333734,0.343836,32.33
2025-10-21 00:00:00.300000,16,0.310004,0.310004,42.32
2025-10-21 00:00:00.320000,17,0.353337,0.391310,30.32
2025-10-21 00:00:00.340000,18,0.333130,0.312031,40.32
2025-10-21 00:00:00.360000,19,0.403337,0.343531,36.32
2025-10-21 00:00:00.380000,20,0.323100,0.413100,58.42
2025-10-21 00:00:00.400000,21,0.323838,0.393813,32.30
2025-10-21 00:00:00.420000,22,0.353331,-0.323120,30.40
2025-10-21 00:00:00.440000,23,0.384033,0.363435,36.34
2025-10-21 00:00:00.460000,24,0.353231,0.584131,4.58
2025-10-21 00:00:00.480000,25,0.323331,0.343034,10.32
2025-10-21 00:00:00.500000,26,0.323533,0.333231,31.30
2025-10-21 00:00:00.520000,27,0.323840,0.343634,36.30
2025-10-21 00:00:00.540000,28,0.323632,0.045841,0.04
2025-10-21 00:00:00.560000,29,0.423233,0.393438,13.10
2025-10-21 00:00:00.580000,30,0.303235,0.303332,20.31
2025-10-21 00:00:00.600000,31,0.403238,0.373436,35.38
2025-10-21 00:00:00.620000,32,0.333237,0.000458,31.00
2025-10-21 00:00:00.640000,33,0.584232,0.313634,35.13
2025-10-21 00:00:00.660000,34,0.323032,-0.313033,31.20
2025-10-21 00:00:00.680000,35,0.304032,0.333734,34.36
2025-10-21 00:00:00.700000,36,0.363532,0.310004,41.31
2025-10-21 00:00:00.720000,37,0.045842,0.353231,32.34
2025-10-21 00:00:00.740000,38,0.103230,0.333130,32.31
2025-10-21 00:00:00.760000,39,0.313040,0.403337,36.34
2025-10-21 00:00:00.780000,40,0.323936,0.323100,58.41
2025-10-21 00:00:00.800000,41,0.000458,0.333630,34.32
2025-10-21 00:00:00.820000,42,0.131032,0.353331,33.32
2025-10-21 00:00:00.840000,43,0.203130,0.384033,34.36
2025-10-21 00:00:00.860000,44,0.363532,0.313032,0.04
2025-10-21 00:00:00.880000,45,0.413100,0.423233,38.34
2025-10-21 00:00:00.900000,46,0.323413,0.303235,31.30
2025-10-21 00:00:00.920000,47,-0.323120,0.403238,33.37
2025-10-21 00:00:00.940000,48,0.363436,0.333231,32.31
2025-10-21 00:00:00.960000,49,0.045741,0.045842,33.35
2025-10-21 00:00:00.980000,50,0.333438,0.103230,35.33
2025-10-21 00:00:01.000000,51,0.303332,0.313040,38.40
2025-10-21 00:00:01.020000,52,0.373436,0.323738,31.32
2025-10-21 00:00:01.040000,53,0.310004,0.310004,42.32
2025-10-21 00:00:01.060000,54,0.343336,0.331310,30.32
2025-10-21 00:00:01.080000,55,0.333130,0.312031,40.32
2025-10-21 00:00:01.100000,56,0.403337,0.363438,30.32
2025-10-21 00:00:01.120000,57,0.333231,0.584131,4.58
2025-10-21 00:00:01.140000,58,0.323537,0.343213,32.30
2025-10-21 00:00:01.160000,59,0.353331,-0.323120,30.40
2025-10-21 00:00:01.180000,60,0.384033,0.373135,31.35
2025-10-21 00:00:01.200000,61,0.313432,0.045841,0.04
2025-10-21 00:00:01.220000,62,0.423231,0.343734,10.32
2025-10-21 00:00:01.240000,63,0.323533,0.333231,31.30
2025-10-21 00:00:01.260000,64,0.323840,0.343736,34.34
2025-10-21 00:00:01.280000,65,0.323135,0.000458,31.00
2025-10-21 00:00:01.300000,66,0.584232,0.353433,13.10
2025-10-21 00:00:01.320000,67,0.303235,0.303332,20.31
2025-10-21 00:00:01.340000,68,0.403238,0.373438,35.38
2025-10-21 00:00:01.360000,69,0.353231,0.310004,41.31
2025-10-21 00:00:01.380000,70,0.045842,0.373433,13.10
2025-10-21 00:00:01.400000,71,0.303235,0.303332,20.31
2025-10-21 00:00:01.420000,72,0.403238,0.373438,36.31
2025-10-21 00:00:01.440000,73,0.373231,0.310004,41.31
2025-10-21 00:00:01.460000,74,0.045842,0.323430,13.10
2025-10-21 00:00:01.480000,75,0.303235,0.303332,20.31
2025-10-21 00:00:01.500000,76,0.403238,0.373439,36.33
