Block,Sample_In_Block,Global_Sample,Voltage_V,Timestamp
1,1,1,-0.00402780575,2025-12-03T17:17:39.202746
2,1,2,-0.00402948819,2025-12-03T17:17:39.275465
3,1,3,-0.00402727723,2025-12-03T17:17:39.348263
4,1,4,-0.00402869423,2025-12-03T17:17:39.420980
5,1,5,-0.00402811216,2025-12-03T17:17:39.463365
6,1,6,-0.00402877805,2025-12-03T17:17:39.505772
7,1,7,-0.00404439354,2025-12-03T17:17:39.578534
8,1,8,-0.00402577873,2025-12-03T17:17:39.651236
9,1,9,-0.00402707513,2025-12-03T17:17:39.693645
10,1,10,-0.00402743089,2025-12-03T17:17:39.736060
11,1,11,-0.00402662903,2025-12-03T17:17:39.756244
12,1,12,-0.00402829609,2025-12-03T17:17:39.828981
13,1,13,-0.00402605161,2025-12-03T17:17:39.901631
14,1,14,-0.00402984302,2025-12-03T17:17:39.974447
15,1,15,-0.00402843812,2025-12-03T17:17:40.016836
16,1,16,-0.00402854615,2025-12-03T17:17:40.059236
17,1,17,-0.00402369862,2025-12-03T17:17:40.132033
18,1,18,-0.0040277075,2025-12-03T17:17:40.204602
19,1,19,-0.00402771402,2025-12-03T17:17:40.277412
20,1,20,-0.00402745651,2025-12-03T17:17:40.319817
21,1,21,-0.00402793195,2025-12-03T17:17:40.362298
22,1,22,-0.00402754312,2025-12-03T17:17:40.382132
23,1,23,-0.00402902998,2025-12-03T17:17:40.455172
24,1,24,-0.00402726931,2025-12-03T17:17:40.527874
25,1,25,-0.00401784246,2025-12-03T17:17:40.600506
26,1,26,-0.00402710027,2025-12-03T17:17:40.642986
27,1,27,-0.00402795616,2025-12-03T17:17:40.685477
28,1,28,-0.00402909843,2025-12-03T17:17:40.705444
29,1,29,-0.00403021462,2025-12-03T17:17:40.778284
30,1,30,-0.00402995897,2025-12-03T17:17:40.851104
31,1,31,-0.00403042137,2025-12-03T17:17:40.923785
32,1,32,-0.00403002509,2025-12-03T17:17:40.966246
33,1,33,-0.00402976851,2025-12-03T17:17:41.008654
34,1,34,-0.0040745004,2025-12-03T17:17:41.081412
35,1,35,-0.0040270416,2025-12-03T17:17:41.154014
36,1,36,-0.00403025094,2025-12-03T17:17:41.226812
37,1,37,-0.00402892054,2025-12-03T17:17:41.269216
38,1,38,-0.00402892846,2025-12-03T17:17:41.311668
39,1,39,-0.00402858108,2025-12-03T17:17:41.384416
40,1,40,-0.00402933033,2025-12-03T17:17:41.457090
41,1,41,-0.00402731588,2025-12-03T17:17:41.499447
42,1,42,-0.00402882508,2025-12-03T17:17:41.541942
43,1,43,-0.00402939645,2025-12-03T17:17:41.561707
44,1,44,-0.00402662483,2025-12-03T17:17:41.634884
45,1,45,-0.00403027003,2025-12-03T17:17:41.707543
46,1,46,-0.00402938015,2025-12-03T17:17:41.780271
47,1,47,-0.00403049308,2025-12-03T17:17:41.822750
48,1,48,-0.00403105514,2025-12-03T17:17:41.865164
49,1,49,-0.00403120182,2025-12-03T17:17:41.885013
50,1,50,-0.00402879714,2025-12-03T17:17:41.958090
51,1,51,-0.00402936013,2025-12-03T17:17:42.030697
52,1,52,-0.00401714956,2025-12-03T17:17:42.103404
53,1,53,-0.00402669049,2025-12-03T17:17:42.145889
54,1,54,-0.00402807816,2025-12-03T17:17:42.188337
55,1,55,-0.00402879528,2025-12-03T17:17:42.261057
56,1,56,-0.00402773218,2025-12-03T17:17:42.333717
57,1,57,-0.0040307925,2025-12-03T17:17:42.406497
58,1,58,-0.00403011357,2025-12-03T17:17:42.448945
59,1,59,-0.00402838224,2025-12-03T17:17:42.491417
60,1,60,-0.00402879668,2025-12-03T17:17:42.511273
61,1,61,-0.00407135486,2025-12-03T17:17:42.584272
62,1,62,-0.00402593845,2025-12-03T17:17:42.656989
63,1,63,-0.00402788957,2025-12-03T17:17:42.729673
64,1,64,-0.00402744766,2025-12-03T17:17:42.772254
65,1,65,-0.00402852334,2025-12-03T17:17:42.814459
66,1,66,-0.00402872823,2025-12-03T17:17:42.887261
67,1,67,-0.00402876455,2025-12-03T17:17:42.959986
68,1,68,-0.00403018575,2025-12-03T17:17:43.032748
69,1,69,-0.00402991427,2025-12-03T17:17:43.075137
70,1,70,-0.00401492556,2025-12-03T17:17:43.117482
71,1,71,-0.0040208511,2025-12-03T17:17:43.137335
72,1,72,-0.0040275827,2025-12-03T17:17:43.210474
73,1,73,-0.00402738852,2025-12-03T17:17:43.283192
74,1,74,-0.00402977224,2025-12-03T17:17:43.355845
75,1,75,-0.00402824953,2025-12-03T17:17:43.398341
76,1,76,-0.00402966281,2025-12-03T17:17:43.440761
77,1,77,-0.00402856618,2025-12-03T17:17:43.513372
78,1,78,-0.00407071271,2025-12-03T17:17:43.586217
79,1,79,-0.00402498152,2025-12-03T17:17:43.658923
80,1,80,-0.00402657594,2025-12-03T17:17:43.701418
81,1,81,-0.00402777967,2025-12-03T17:17:43.743783
82,1,82,-0.00402958644,2025-12-03T17:17:43.816437
83,1,83,-0.00403030915,2025-12-03T17:17:43.889200
84,1,84,-0.00402976013,2025-12-03T17:17:43.961827
85,1,85,-0.00402918923,2025-12-03T17:17:44.004318
86,1,86,-0.00402962556,2025-12-03T17:17:44.046732
87,1,87,-0.00403067795,2025-12-03T17:17:44.066638
88,1,88,-0.00402291119,2025-12-03T17:17:44.139606
89,1,89,-0.00402774661,2025-12-03T17:17:44.212419
90,1,90,-0.00402831286,2025-12-03T17:17:44.285175
91,1,91,-0.00402845581,2025-12-03T17:17:44.327531
92,1,92,-0.00402910541,2025-12-03T17:17:44.370144
93,1,93,-0.0040293876,2025-12-03T17:17:44.442758
94,1,94,-0.00402935501,2025-12-03T17:17:44.515419
95,1,95,-0.00406815018,2025-12-03T17:17:44.588104
96,1,96,-0.00402261037,2025-12-03T17:17:44.630545
97,1,97,-0.00402769166,2025-12-03T17:17:44.672991
98,1,98,-0.00402947468,2025-12-03T17:17:44.745640
99,1,99,-0.00402970658,2025-12-03T17:17:44.818743
100,1,100,-0.0040303613,2025-12-03T17:17:44.891036
101,1,101,-0.0040316726,2025-12-03T17:17:44.933538
102,1,102,-0.00402995198,2025-12-03T17:17:44.976036
103,1,103,-0.00402856152,2025-12-03T17:17:45.048669
104,1,104,-0.00402507698,2025-12-03T17:17:45.121419
105,1,105,-0.00402857176,2025-12-03T17:17:45.194101
106,1,106,-0.00402874732,2025-12-03T17:17:45.236542
107,1,107,-0.00402862438,2025-12-03T17:17:45.278984
108,1,108,-0.00402945373,2025-12-03T17:17:45.298934
109,1,109,-0.00403087865,2025-12-03T17:17:45.371894
110,1,110,-0.00402865465,2025-12-03T17:17:45.444614
111,1,111,-0.00403139507,2025-12-03T17:17:45.517328
112,1,112,-0.0040312279,2025-12-03T17:17:45.559739
113,1,113,-0.00405255844,2025-12-03T17:17:45.602060
114,1,114,-0.00402787979,2025-12-03T17:17:45.674862
115,1,115,-0.00402887677,2025-12-03T17:17:45.747609
116,1,116,-0.00402886001,2025-12-03T17:17:45.820428
117,1,117,-0.00402920925,2025-12-03T17:17:45.862730
118,1,118,-0.00403008842,2025-12-03T17:17:45.905141
119,1,119,-0.00403156131,2025-12-03T17:17:45.977863
120,1,120,-0.00403024628,2025-12-03T17:17:46.050539
121,1,121,-0.00401677982,2025-12-03T17:17:46.123232
122,1,122,-0.00402619922,2025-12-03T17:17:46.165719
123,1,123,-0.0040278621,2025-12-03T17:17:46.208177
124,1,124,-0.00402890797,2025-12-03T17:17:46.227982
125,1,125,-0.00402959203,2025-12-03T17:17:46.301101
126,1,126,-0.00403017038,2025-12-03T17:17:46.373703
127,1,127,-0.00402991799,2025-12-03T17:17:46.446480
128,1,128,-0.00402956176,2025-12-03T17:17:46.488974
129,1,129,-0.00402992591,2025-12-03T17:17:46.531290
130,1,130,-0.00408130325,2025-12-03T17:17:46.604118
131,1,131,-0.00402698246,2025-12-03T17:17:46.676834
132,1,132,-0.00402874359,2025-12-03T17:17:46.749462
133,1,133,-0.00402939785,2025-12-03T17:17:46.791937
134,1,134,-0.00402871472,2025-12-03T17:17:46.834424
135,1,135,-0.00402935408,2025-12-03T17:17:46.909143
136,1,136,-0.00402906723,2025-12-03T17:17:46.981778
137,1,137,-0.00402987562,2025-12-03T17:17:47.054459
138,1,138,-0.00408120732,2025-12-03T17:17:47.097011
139,1,139,-0.00401961291,2025-12-03T17:17:47.139417
140,1,140,-0.00402404787,2025-12-03T17:17:47.159331
141,1,141,-0.00402713706,2025-12-03T17:17:47.232276
142,1,142,-0.00403008051,2025-12-03T17:17:47.304997
143,1,143,-0.00403060577,2025-12-03T17:17:47.377766
144,1,144,-0.00402974104,2025-12-03T17:17:47.420123
145,1,145,-0.00402931403,2025-12-03T17:17:47.462603
146,1,146,-0.00402956455,2025-12-03T17:17:47.535316
147,1,147,-0.00404227059,2025-12-03T17:17:47.607940
148,1,148,-0.00402753008,2025-12-03T17:17:47.680753
149,1,149,-0.00402916315,2025-12-03T17:17:47.723148
150,1,150,-0.00402818154,2025-12-03T17:17:47.765640
151,1,151,-0.0040292982,2025-12-03T17:17:47.785430
152,1,152,-0.0040292954,2025-12-03T17:17:47.858503
153,1,153,-0.00402919622,2025-12-03T17:17:47.931246
154,1,154,-0.0040296046,2025-12-03T17:17:47.973620
155,1,155,-0.00403004139,2025-12-03T17:17:48.016095
156,1,156,-0.00402954686,2025-12-03T17:17:48.035942
157,1,157,-0.00402845721,2025-12-03T17:17:48.109003
158,1,158,-0.0040283394,2025-12-03T17:17:48.181720
159,1,159,-0.00403037481,2025-12-03T17:17:48.254379
160,1,160,-0.00402913475,2025-12-03T17:17:48.327188
161,1,161,-0.00403068587,2025-12-03T17:17:48.399878
162,1,162,-0.00402956176,2025-12-03T17:17:48.472538
163,1,163,-0.00403038831,2025-12-03T17:17:48.545276
164,1,164,-0.00402155751,2025-12-03T17:17:48.618051
165,1,165,-0.00402887677,2025-12-03T17:17:48.690785
166,1,166,-0.00402966374,2025-12-03T17:17:48.733176
167,1,167,-0.00402971683,2025-12-03T17:17:48.775614
168,1,168,-0.0040302528,2025-12-03T17:17:48.848310
169,1,169,-0.00403065793,2025-12-03T17:17:48.921035
170,1,170,-0.00402930798,2025-12-03T17:17:48.993789
171,1,171,-0.00402650376,2025-12-03T17:17:49.044431
172,1,172,-0.00402972195,2025-12-03T17:17:49.078778
173,1,173,-0.0040685269,2025-12-03T17:17:49.098570
174,1,174,-0.00401965575,2025-12-03T17:17:49.118430
175,1,175,-0.00402501598,2025-12-03T17:17:49.138298
176,1,176,-0.00402689212,2025-12-03T17:17:49.158302
177,1,177,-0.00402854522,2025-12-03T17:17:49.178158
178,1,178,-0.00403002277,2025-12-03T17:17:49.251326
179,1,179,-0.00402940576,2025-12-03T17:17:49.324019
180,1,180,-0.00403115805,2025-12-03T17:17:49.396773
181,1,181,-0.00403027562,2025-12-03T17:17:49.439062
182,1,182,-0.00402895268,2025-12-03T17:17:49.481592
183,1,183,-0.00403020624,2025-12-03T17:17:49.554285
184,1,184,-0.00401864899,2025-12-03T17:17:49.627049
185,1,185,-0.00402788398,2025-12-03T17:17:49.699759
186,1,186,-0.00402851868,2025-12-03T17:17:49.742021
187,1,187,-0.00402735779,2025-12-03T17:17:49.784545
188,1,188,-0.00402969121,2025-12-03T17:17:49.858279
189,1,189,-0.00402937037,2025-12-03T17:17:49.931021
190,1,190,-0.00403144257,2025-12-03T17:17:50.004564
191,1,191,-0.00402985559,2025-12-03T17:17:50.046232
192,1,192,-0.00402766326,2025-12-03T17:17:50.088611
193,1,193,-0.00406710524,2025-12-03T17:17:50.108445
194,1,194,-0.00402586581,2025-12-03T17:17:50.181534
195,1,195,-0.00402834685,2025-12-03T17:17:50.254179
196,1,196,-0.00402894057,2025-12-03T17:17:50.326945
197,1,197,-0.00403032172,2025-12-03T17:17:50.369420
198,1,198,-0.00402931915,2025-12-03T17:17:50.411839
199,1,199,-0.00403012661,2025-12-03T17:17:50.484459
200,1,200,-0.00403011869,2025-12-03T17:17:50.557154
201,1,201,-0.00401881104,2025-12-03T17:17:50.629997
202,1,202,-0.00402560597,2025-12-03T17:17:50.672386
203,1,203,-0.00402699643,2025-12-03T17:17:50.714800
204,1,204,-0.00402773404,2025-12-03T17:17:50.734638
205,1,205,-0.00402900343,2025-12-03T17:17:50.807735
206,1,206,-0.00402915058,2025-12-03T17:17:50.880340
207,1,207,-0.00402833987,2025-12-03T17:17:50.953432
208,1,208,-0.00402827607,2025-12-03T17:17:50.995533
209,1,209,-0.00403045071,2025-12-03T17:17:51.038049
210,1,210,-0.00407941546,2025-12-03T17:17:51.110712
211,1,211,-0.00402603391,2025-12-03T17:17:51.183499
212,1,212,-0.00402865931,2025-12-03T17:17:51.256106
213,1,213,-0.00402900017,2025-12-03T17:17:51.298599
214,1,214,-0.0040288642,2025-12-03T17:17:51.341018
215,1,215,-0.00402935268,2025-12-03T17:17:51.413747
216,1,216,-0.00402808375,2025-12-03T17:17:51.486405
