Sample Number,Time (s),TIVA Raw,TIVA Filtered,TIVA Temp
1,0.0008,-0.007456,-0.007455,10.629999999999999
2,0.0014,-0.007456,-0.007455,10.629999999999999
3,0.0022,-0.007456,-0.007455,10.629999999999999
4,0.0028,-0.007456,-0.007456,10.629999999999999
5,0.0034,-0.007456,-0.007456,10.629999999999999
6,0.0039,-0.007457,-0.007456,10.629999999999999
7,0.0043,-0.007457,-0.007456,10.629999999999999
8,0.0045,-0.007457,-0.007456,10.629999999999999
9,0.0047,-0.007458,-0.007456,10.629999999999999
10,0.0050,-0.0074600000000000005,-0.007457,10.629999999999999
11,0.0052,-0.007459,-0.007457,10.629999999999999
12,0.0054,-0.007457,-0.007457,10.629999999999999
13,0.0056,-0.007457,-0.007457,10.629999999999999
14,0.0059,-0.007456,-0.007457,10.629999999999999
15,0.0061,-0.007456,-0.007457,10.629999999999999
16,0.0063,-0.007456,-0.007457,10.629999999999999
17,0.0065,-0.007455,-0.007456,10.629999999999999
18,0.0067,-0.007455,-0.007456,10.629999999999999
19,0.0069,-0.007455,-0.007456,10.629999999999999
20,0.0071,-0.007457,-0.007456,10.629999999999999
21,0.0084,-0.007456,-0.007456,10.629999999999999
22,0.0087,-0.007456,-0.007456,10.629999999999999
23,0.0089,-0.007456,-0.007456,10.629999999999999
24,0.0091,-0.007455,-0.007456,10.629999999999999
25,0.0093,-0.007454,-0.007456,10.629999999999999
26,0.0097,-0.007454,-0.007456,10.629999999999999
27,0.0100,-0.007455,-0.007456,10.629999999999999
28,0.0104,-0.007455,-0.007456,10.629999999999999
29,0.0107,-0.007455,-0.007455,10.629999999999999
30,0.0110,-0.007456,-0.007455,10.629999999999999
31,0.0112,-0.007457,-0.007456,10.629999999999999
32,0.0114,-0.007458,-0.007456,10.629999999999999
33,0.0117,-0.007458,-0.007456,10.629999999999999
34,0.0122,-0.007458,-0.007456,10.629999999999999
35,0.0126,-0.007458,-0.007456,10.629999999999999
36,0.0128,-0.007459,-0.007457,10.629999999999999
37,0.0130,-0.0074600000000000005,-0.007457,10.629999999999999
38,0.0132,-0.0074600000000000005,-0.007457,10.62
39,0.0134,-0.0074600000000000005,-0.007458,10.62
40,0.0136,-0.0074600000000000005,-0.007458,10.62
41,0.0253,-0.007459,-0.007458,10.62
42,0.0757,-0.007459,-0.007458,10.629999999999999
43,0.1258,-0.007459,-0.007458,10.629999999999999
44,0.1762,-0.007458,-0.007458,10.62
45,0.2265,-0.007457,-0.007458,10.62
46,0.2768,-0.007458,-0.007458,10.62
47,0.3270,-0.007457,-0.007458,10.62
48,0.3773,-0.007457,-0.007458,10.62
49,0.4275,-0.007458,-0.007458,10.62
50,0.4777,-0.007459,-0.007458,10.62
51,0.5281,-0.007459,-0.007458,10.62
52,0.5782,-0.007459,-0.007458,10.62
53,0.6286,-0.007458,-0.007458,10.62
54,0.6788,-0.007458,-0.007458,10.62
55,0.7291,-0.007459,-0.007458,10.62
56,0.7793,-0.0074600000000000005,-0.007458,10.62
57,0.8299,-0.007461000000000001,-0.007459,10.62
58,0.8801,-0.0074600000000000005,-0.007459,10.62
59,0.9302,-0.007459,-0.007459,10.62
60,0.9806,-0.007457,-0.007459,10.62
61,1.0309,-0.007457,-0.007459,10.62
62,1.0810,-0.007457,-0.007459,10.62
63,1.1314,-0.007458,-0.007458,10.62
64,1.1817,-0.007458,-0.007458,10.62
65,1.2319,-0.007457,-0.007458,10.62
66,1.2822,-0.007457,-0.007458,10.62
67,1.3324,-0.007456,-0.007458,10.62
68,1.3834,-0.007456,-0.007458,10.62
69,1.4329,-0.007456,-0.007458,10.62
70,1.4833,-0.007456,-0.007457,10.62
71,1.5335,-0.007456,-0.007457,10.62
72,1.5837,-0.007457,-0.007457,10.62
73,1.6341,-0.007456,-0.007457,10.62
74,1.6844,-0.007455,-0.007457,10.62
75,1.7346,-0.007455,-0.007457,10.62
76,1.7852,-0.007456,-0.007457,10.62
77,1.8352,-0.007457,-0.007457,10.62
78,1.8854,-0.007456,-0.007457,10.62
79,1.9357,-0.007456,-0.007457,10.62
80,1.9861,-0.007456,-0.007457,10.62
81,2.0363,-0.007457,-0.007457,10.62
82,2.0867,-0.007458,-0.007457,10.62
83,2.1369,-0.007457,-0.007457,10.62
